epochs,model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,step_intensity_spearman_mean,tau_corr_mean,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
3,concat_a,0.0713465743575086,,0.2641216615130136,0.007273167095062727,,,,,,,,,
3,learned_tau_rope:global_only,0.023940760595568707,,0.09393347074164013,0.008238667538557055,,0.2724789842507606,0.9999993382668009,,,1.0,,4.6379508220599414e-07,1.3995331057082453e-05
3,static_tau_rope:global_only,0.034576138147566715,,0.16260780052951185,0.007360372667679151,,,1.0,,,1.0,,0.0,0.0
