epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,train_geom_lambda,train_geom_qk,train_geom_attn,train_ord_lambda,train_ord_loss,train_ord_d1,train_ord_d2,train_ord_d3,train_ord_qk_d1,train_ord_qk_d2,train_ord_qk_d3,train_ord_gap12,train_ord_gap23,train_ord_qk_gap12,train_ord_qk_gap23,train_ord_order_rate,train_ord_margin_rate,train_ord_active_frac,train_ord_qk_order_rate,train_ord_qk_margin_rate,train_ord_qk_active_frac,train_ord_perturb_l2_1,train_ord_perturb_l2_2,train_ord_perturb_l2_3,train_ord_pred_d1,train_ord_pred_d2,train_ord_pred_d3,train_ord_fused_d1,train_ord_fused_d2,train_ord_fused_d3,train_ord_global_d1,train_ord_global_d2,train_ord_global_d3,train_ord_local_d1,train_ord_local_d2,train_ord_local_d3,train_ord_qk_pred_corr,train_ord_qk_fused_corr,train_ord_qk_global_corr,train_ord_qk_local_corr,train_tau_grad_norm,val_ic,val_icir,val_mae
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,2,0.00025179703144078433,,0.0,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02834379905808477,-0.13090348130501728,0.008064239325060545
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,3,0.00018379679009831903,,0.0,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027590266875981165,-0.11865806529790023,0.007653371957816656
3,7,learned_tau_rope:global_only,^GSPC,2022-01-01,2024-12-31,1,-0.042689417066537574,0.4682601308979143,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.942065745001354,-0.012637362637362645,-0.04713768720484847,0.008409634691764745
3,7,learned_tau_rope:global_only,^GSPC,2022-01-01,2024-12-31,2,-0.0502411149367201,0.5106611606276531,0.0,,,0.01,0.0019763658977066793,1.7774444185628895e-08,5.654224419549891e-08,1.807285868315682e-07,2.1983417267166345e-06,7.779275472454866e-06,2.5832571617976703e-05,3.8767800009870014e-08,1.2418634263606927e-07,5.58093368386473e-06,1.805329572512433e-05,0.583457330426189,0.0,1.0,0.9926477024070022,0.0,1.0,0.0026193284179966414,0.005191027359788345,0.010254588030702567,1.0021986660494982e-06,1.0182045877111941e-06,1.0812258995496811e-06,8.203728510332049e-06,1.5923887887041474e-05,3.058352317218185e-05,8.203728510332049e-06,1.5923887887041474e-05,3.058352317218185e-05,1.0000002216447903e-06,1.0000002216447903e-06,1.0000002216447903e-06,0.016061004882828956,0.5894414910357938,0.5894414910357938,2.5425063659907443e-16,0.19099245600563122,0.05927786499215071,0.27872255948149827,0.007397601001775633
3,7,learned_tau_rope:global_only,^GSPC,2022-01-01,2024-12-31,3,-0.05117276869958809,0.516887112462025,0.0,,,0.01,0.0019583761088623457,2.931452943367677e-08,1.0224348600416304e-07,3.3427641208894927e-07,3.7420375071635304e-06,1.3565914077307017e-05,4.537434853076898e-05,7.292895657048628e-08,2.3203292608478622e-07,9.823876737534293e-06,3.180843526862396e-05,0.6675711159841758,0.0,1.0,0.9923851206109613,0.0,0.9999562363238512,0.0026103423942589656,0.005174606480641816,0.010228506467209342,1.0139575298649555e-06,1.0749162614085048e-06,1.2732805436281012e-06,9.405183879151906e-06,1.8372071870751436e-05,3.5083110104681804e-05,9.405183879151906e-06,1.8372071870751436e-05,3.5083110104681804e-05,1.0000002216447903e-06,1.0000002216447903e-06,1.0000002216447903e-06,0.04362203353365051,0.5891688047273586,0.5891688047273586,-2.083306788216212e-16,0.25559786166396303,0.00333594976452119,0.013665924189428628,0.008798750215156472
3,7,static_tau_rope:global_only,^GSPC,2022-01-01,2024-12-31,1,0.0089994181841673,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0451883830455259,-0.20866304042737197,0.017065775720381902
3,7,static_tau_rope:global_only,^GSPC,2022-01-01,2024-12-31,2,0.0012558630917270217,,0.0,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03827315541601256,-0.1695973458417734,0.00832193661623682
3,7,static_tau_rope:global_only,^GSPC,2022-01-01,2024-12-31,3,0.0007886049428677566,,0.0,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0528021978021978,-0.23729481468111624,0.0077381650556403005
