model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
concat_a,0.057147143917609895,0.0229258705120117,0.2324919375097337,0.0077823515266287335,0.0005955777767920541,,,,,,
econ_time,0.04383568812140241,0.02733883407259858,0.15914459582919352,0.007291715940409484,0.00012354227231728982,0.0036324144263441363,0.0036934045031273284,0.2713725692418968,0.49757422080250824,0.00013243263713868183,0.004241425958176961
econ_time:pe_only,0.04285975928833072,0.0272732504917122,0.15900386267695452,0.007300833650598175,0.00013813547828629683,0.0036897798418067396,0.003597851438556128,0.271005083415784,0.4974482814835854,5.580478811222382e-06,1.9817193955235296e-05
econ_time:qk_only,0.042973361398626335,0.017655689517911313,0.16224293616009847,0.00716316387586034,3.1903077888773606e-05,,,0.2668742874021433,0.4976059190797157,0.0001333608232509047,0.004184247690639427
static,0.010336299737673199,0.060370606853473355,0.04341243545622181,0.00731688750413845,0.00018872516985786065,,,,,,
