ic,icir,mae,tau_last_mean,market_shift_mean,pe_scale_mean,fusion_gate_mean,context_gate_mean,bias_abs_mean,qk_abs_mean,bias_to_qk_ratio,tau_dev_std_mean,step_dev_std_mean,tau_corr_mean,tau_swap_delta_mean,pred_swap_delta_mean,bias_swap_delta_mean,attn_swap_delta_mean,qk_swap_delta_mean,rand_attn_swap_delta_mean,rand_qk_swap_delta_mean,attn_topk_delta_mean,attn_kl_mean,seed,model_kind,index_symbol,start,end
0.0713465743575086,0.2641216615130136,0.007273167095062727,,,,,,,,,,,,,,,,,,,,,7,concat_a,^GSPC,2022-01-01,2024-12-31
0.06993720565149138,0.259477309236645,0.007291548923939728,42.429667998333365,0.0016677819052235965,0.004130627028644085,0.354208189151725,0.6128794614636168,3.4400958552652474,0.18771783555040555,18.345279621084003,4.152566313743591,0.09155042859060424,0.9995447342493096,0.019215137887061858,4.66146639415196e-06,0.0023417716948505567,0.0001119073800866169,0.0035568616075479253,0.004127875230077901,0.1392352881309177,0.0005227475564651267,0.00029115319810778007,7,econ_time,^GSPC,2022-01-01,2024-12-31
0.06116954474097332,0.23218637089693242,0.007298558185170456,43.926953489342516,0.0017316622287510152,0.004252009093761444,0.35310678222957925,0.612587487162376,3.5614232920627207,0.05772196688670285,63.274035135204024,4.60654828013206,0.09254010384940371,0.9995720167549289,0.019788918743784332,8.277382169451032e-07,0.0023891857353856368,5.513962047300492e-06,7.327964986147055e-06,0.00034403252878941463,0.0006268148139044607,2.3879984658620112e-05,3.4272687222552606e-06,7,econ_time:pe_only,^GSPC,2022-01-01,2024-12-31
0.044945054945054935,0.16639273542505437,0.007144631083898503,43.535858971732004,0.001689936677706713,,0.34820200923754246,0.6123983371257782,3.5298688168428383,0.1674625410960645,21.096508367613488,4.4893874124604825,0.09399764231577211,0.9995439934487246,0.0197779417988293,8.627532088026709e-06,0.0024064734798608994,0.00010336174122984426,0.0032701774405277505,0.003821493730314874,0.12618660698264686,0.0004662680317771298,0.0002502937260756806,7,econ_time:qk_only,^GSPC,2022-01-01,2024-12-31
-0.011428571428571425,-0.047063653745941667,0.007236244960912565,,,,,,,,,,,,,,,,,,,,,7,static,^GSPC,2022-01-01,2024-12-31
0.03069858712715855,0.13260728304434602,0.007636617251661164,,,,,,,,,,,,,,,,,,,,,17,concat_a,^GSPC,2022-01-01,2024-12-31
0.01540816326530612,0.04994842382171859,0.007415341636290702,41.67864328501176,0.0016752347323986492,0.007051424123346806,0.25207310755033885,0.3822464999860647,3.3789154121827107,0.40656634518078394,8.365999489295058,3.9229133066352535,0.0897025371373308,0.9995497915209556,0.018954225233470907,8.623350639732517e-06,0.0023036493756333175,0.0001510162927371887,0.00462600740357017,0.006086385931097427,0.18860604823890084,0.0007219137919933669,0.0005338597749015412,17,econ_time,^GSPC,2022-01-01,2024-12-31
0.011514913657770798,0.03691148779473455,0.007440092804728841,44.17280991223394,0.0017397554966202956,0.006973417475819588,0.2518268831712859,0.3822883672860204,3.5810056537511397,0.34255036152747215,10.597379878990772,4.680257872464706,0.09344096680228807,0.9995671638177366,0.019968482048383782,3.601872191137197e-06,0.0024097267969758534,5.5932517226414795e-06,1.8222760409116746e-05,0.0003493457933476822,0.0013387224678623095,2.3670621054147236e-05,3.64009279843342e-06,17,econ_time:pe_only,^GSPC,2022-01-01,2024-12-31
0.024414589690384503,0.1013921992192326,0.007200002143293005,41.04849441684022,0.001684140027405656,,0.2535480959622227,0.3822585410852822,3.327755721247926,0.45437952481970495,7.361632189346462,3.730033146897141,0.08671137152125641,0.9995714663729376,0.018506563425976404,6.733986796164999e-06,0.0022367927291411524,0.00016193139872261873,0.004757036994572501,0.006333745598355879,0.19495674283319742,0.0007703548635365631,0.000613782737258292,17,econ_time:qk_only,^GSPC,2022-01-01,2024-12-31
-0.03613392773153558,-0.13271548715226864,0.007181881154127119,,,,,,,,,,,,,,,,,,,,,17,static,^GSPC,2022-01-01,2024-12-31
