epochs,seed,model_kind,vs,t,p,n
3,7,concat_a:no_intensity,concat_a,-3.150404641051435,0.00216834565142253,98
3,7,static,concat_a,-2.600533036593069,0.010763103277355296,98
3,17,concat_a:no_intensity,concat_a,-2.4779369259050266,0.01494270414601469,98
3,17,static,concat_a,-2.2774947255643787,0.02495241603362801,98
3,27,concat_a:no_intensity,concat_a,0.5326161519902562,0.5955173513164275,98
3,27,static,concat_a,0.3178558422156708,0.751277551416669,98
3,7,concat_a:no_intensity,static,-0.4599999046659016,0.6465457305300131,98
3,17,concat_a:no_intensity,static,1.8223163573883108,0.07148813986574762,98
3,27,concat_a:no_intensity,static,-0.047796099201223664,0.9619770169084363,98
