epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,train_geom_lambda,train_geom_qk,train_geom_attn,train_ord_lambda,train_ord_loss,train_ord_d1,train_ord_d2,train_ord_d3,train_ord_qk_d1,train_ord_qk_d2,train_ord_qk_d3,train_ord_gap12,train_ord_gap23,train_ord_qk_gap12,train_ord_qk_gap23,train_ord_order_rate,train_ord_margin_rate,train_ord_active_frac,train_ord_qk_order_rate,train_ord_qk_margin_rate,train_ord_qk_active_frac,train_ord_perturb_l2_1,train_ord_perturb_l2_2,train_ord_perturb_l2_3,train_ord_pred_d1,train_ord_pred_d2,train_ord_pred_d3,train_ord_fused_d1,train_ord_fused_d2,train_ord_fused_d3,train_ord_global_d1,train_ord_global_d2,train_ord_global_d3,train_ord_local_d1,train_ord_local_d2,train_ord_local_d3,train_ord_qk_pred_corr,train_ord_qk_fused_corr,train_ord_qk_global_corr,train_ord_qk_local_corr,train_tau_grad_norm,val_ic,val_icir,val_mae
3,17,shape_signature_token:global_only,^GSPC,2022-01-01,2024-12-31,2,0.0009413670036479162,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018296703296703288,0.07130108897320929,0.013936113669196578
3,17,shape_signature_token:global_only,^GSPC,2022-01-01,2024-12-31,3,0.0002470745870036519,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029120879120879133,0.01129189883699972,0.009632381454246254
3,17,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.005312991847591862,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015439560439560442,0.0620417588063597,0.027496806692007637
3,17,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,2,0.0002597078824142214,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0335243328100471,0.14628126216880674,0.009134984804531532
3,17,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,3,0.00010657019166622813,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060627943485086336,0.26542652803499484,0.008767890392211429
3,27,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.002027637485696993,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010486656200941913,-0.039886557711453385,0.008294167671358212
3,27,concat_a,^GSPC,2022-01-01,2024-12-31,2,0.0004023572189974878,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004010989010989009,0.019310969804291995,0.007746384160460941
3,27,concat_a,^GSPC,2022-01-01,2024-12-31,3,0.0003091163352576107,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006122448979591865,-0.0029074949831116026,0.00961142663541894
3,27,shape_signature_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.014630866974879553,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017182103610675042,-0.06503369840860442,0.033831637366618504
3,27,shape_signature_token:global_only,^GSPC,2022-01-01,2024-12-31,2,0.00045810916010164033,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017174254317111455,0.0635707713160073,0.011613188045950424
3,27,shape_signature_token:global_only,^GSPC,2022-01-01,2024-12-31,3,0.00013585597931491965,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04672684458398744,-0.21401588221064152,0.007954311013612063
3,27,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.0307031661826703,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034073783359497636,0.1313516558569731,0.039088486043183455
3,27,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,2,0.0012666065671177544,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028383045525902668,0.1108839544916666,0.009428707434684633
3,27,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,3,0.000218173052052202,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015298273155416011,0.06305216646861603,0.008425798893160707
