epochs,model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,step_intensity_spearman_mean,tau_corr_mean,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
1,concat_a,0.05296964939822083,0.010362287442253912,0.20140822852136128,0.009031959141156566,0.0016698463828457794,,,,,,,,
1,shape_signature_token:global_only,0.010688121402407116,0.038988516765245985,0.03418465551353117,0.026701026616972434,0.010657293329220188,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,simple_summary_token:global_only,-0.008164725268183714,0.049484290986659324,-0.04026183840863326,0.026634706208655223,0.01431070178261903,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,concat_a,0.057147143917609895,0.0229258705120117,0.2324919375097337,0.0077823515266287335,0.0005955777767920541,,,,,,,,
3,shape_signature_token:global_only,-7.849293563583331e-06,0.023981534169178538,-0.0018408674508188043,0.008441758490411231,0.0007847886348428932,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,simple_summary_token:global_only,-0.01440345368916797,0.03768832480720471,-0.05487104079432834,0.00860089119042303,0.0003398224702267616,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
