model_kind,vs,t,p,n
static,concat_a,1.9081641516970218,0.05932713583184469,98
tau_rope,concat_a,2.8456941779182223,0.005407250890025272,98
tau_rope_concat,concat_a,1.4908815131894884,0.13923746094162806,98
