epochs,model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,step_intensity_spearman_mean,tau_corr_mean,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
1,concat_a,0.05296964939822083,0.010362287442253912,0.20140822852136128,0.009031959141156566,0.0016698463828457794,,,,,,,,
1,learned_tau_rope,0.027708006279434854,0.046109420865551996,0.10337714164310374,0.007902011164344868,0.0009699934296668938,0.423726171883885,0.9999980979225263,,,0.32727644349847523,,2.1473484540817115e-06,6.477706471686157e-05
1,static,0.02109628466771324,0.045465046434673834,0.07668199467995035,0.01677802757862171,0.013180920639376441,,,,,,,,
1,tau_rope,0.006140763997906854,0.044827293779998806,0.039819537607932616,0.017249837530901587,0.009249746128556082,0.9999999393139071,0.9979020278064571,,,0.31925471300981484,,2.59572537579268e-05,0.0007442057033094773
3,concat_a,0.057147143917609895,0.0229258705120117,0.2324919375097337,0.0077823515266287335,0.0005955777767920541,,,,,,,,
3,learned_tau_rope,-0.007213500784929351,0.07166968121609715,-0.02836916710714497,0.007180601261195619,1.8155969923974407e-05,0.12397889599724816,0.9987690769247458,,,0.2228060679431675,,0.00041173164099597427,0.022263052614570473
3,static,0.010336299737673199,0.060370606853473355,0.04341243545622181,0.00731688750413845,0.00018872516985786065,,,,,,,,
3,tau_rope,0.02924646781789639,0.053206812035624024,0.1193776362472409,0.00721010763441001,5.8838601133197454e-05,1.0,0.9979036738272428,,,0.21848501334384995,,2.624831576627714e-05,0.0007494624116185572
