epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,train_geom_qk,train_geom_attn,val_ic,val_icir,val_mae
1,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
1,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,1,-0.04617739960094771,0.4679537945190196,0.0021571286780763766,0.00015500451095760913,-0.011883830455259025,-0.04440675731514449,0.007386777872693157
1,7,static,^GSPC,2022-01-01,2024-12-31,1,0.0038818247020101946,,,,0.03018053375196232,0.12793447558139,0.009080647904593855
1,7,tau_rope,^GSPC,2022-01-01,2024-12-31,1,0.0029756509290735037,,,,-0.048775510204081635,-0.21002040458194932,0.017814608377292162
1,17,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.004540844489249688,,,,-0.03183673469387756,-0.12398359665681691,0.008646988505476879
1,17,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,1,-0.04596693704145221,0.46506978511027747,0.0029799416962872447,0.0002074515535312764,0.02759518731176998,0.10445145632934295,0.007569075768949414
1,17,static,^GSPC,2022-01-01,2024-12-31,1,0.0014043610616784779,,,,-0.060455259026687594,-0.253497013718346,0.01050264163115896
1,17,tau_rope,^GSPC,2022-01-01,2024-12-31,1,0.008958518201784848,,,,0.012982731554160128,0.04898344049176325,0.0276870050933419
1,27,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.002027637485696993,,,,-0.010486656200941913,-0.039886557711453385,0.008294167671358212
1,27,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,1,-0.045759863335011565,0.46777144108611596,0.0051891152998452894,0.00015343119817759425,-0.01891679748822606,-0.07171727014292906,0.009770457050118536
1,27,static,^GSPC,2022-01-01,2024-12-31,1,0.008231452077981777,,,,-0.05415227629513345,-0.21301373140349633,0.03082792800925123
1,27,tau_rope,^GSPC,2022-01-01,2024-12-31,1,0.0034530790038895948,,,,-0.01662480376766091,-0.06589965742031052,0.008821036177232879
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,2,0.00025179703144078433,,,,-0.02834379905808477,-0.13090348130501728,0.008064239325060545
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,3,0.00018379679009831903,,,,-0.027590266875981165,-0.11865806529790023,0.007653371957816656
3,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,1,-0.04617739960094771,0.4679537945190196,0.0021571286780763766,0.00015500451095760913,-0.011883830455259025,-0.04440675731514449,0.007386777872693157
3,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,2,-0.052833273448620634,0.5072190497975381,0.013394772545383586,0.009913417579569494,0.015604395604395607,0.05874514754081129,0.007324024240598674
3,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,3,-0.1317624095232273,0.4693846466817793,0.35371445069949525,0.49661417919906015,0.011499215070643635,0.042963734944991595,0.007400412738773931
3,7,static,^GSPC,2022-01-01,2024-12-31,1,0.0038818247020101946,,,,0.03018053375196232,0.12793447558139,0.009080647904593855
3,7,static,^GSPC,2022-01-01,2024-12-31,2,0.0005297355938252444,,,,0.028390894819466248,0.12136815884358171,0.0074202976267511355
3,7,static,^GSPC,2022-01-01,2024-12-31,3,0.00036413133669393934,,,,0.02488942891840076,0.10930142900530469,0.007452498265655294
3,7,tau_rope,^GSPC,2022-01-01,2024-12-31,1,0.0029756509290735037,,,,-0.048775510204081635,-0.21002040458194932,0.017814608377292162
3,7,tau_rope,^GSPC,2022-01-01,2024-12-31,2,0.0004474589471599287,,,,-0.028061224489795922,-0.1151744754774867,0.007553922342063947
3,7,tau_rope,^GSPC,2022-01-01,2024-12-31,3,0.00022589309364063075,,,,-0.05639717425431712,-0.22559069855217292,0.007351118023973645
3,17,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.004540844489249688,,,,-0.03183673469387756,-0.12398359665681691,0.008646988505476879
3,17,concat_a,^GSPC,2022-01-01,2024-12-31,2,0.0004975221058148972,,,,-0.025753520102782833,-0.10505900243207243,0.007366545548824786
3,17,concat_a,^GSPC,2022-01-01,2024-12-31,3,0.0003846740483202415,,,,-0.023642072213500783,-0.10299573542366867,0.007412430114538754
3,17,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,1,-0.04596693704145221,0.46506978511027747,0.0029799416962872447,0.0002074515535312764,0.02759518731176998,0.10445145632934295,0.007569075768949414
3,17,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,2,-0.05534090661115667,0.505019096754312,0.027254337826234244,0.02315186796224874,0.019144427001569857,0.07509265114996609,0.00739238430561857
3,17,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,3,-0.15344242542003908,0.4479472172755903,0.5135160956758378,0.5746799738454088,-0.033540031397174264,-0.14119366457187768,0.007471747582125484
3,17,static,^GSPC,2022-01-01,2024-12-31,1,0.0014043610616784779,,,,-0.060455259026687594,-0.253497013718346,0.01050264163115896
3,17,static,^GSPC,2022-01-01,2024-12-31,2,0.00038014842331545996,,,,-0.016475667189952907,-0.06250586107583762,0.007518966547312147
3,17,static,^GSPC,2022-01-01,2024-12-31,3,0.0002607291905184967,,,,-0.02095345437617717,-0.0803902901039572,0.007419719991320265
3,17,tau_rope,^GSPC,2022-01-01,2024-12-31,1,0.008958518201784848,,,,0.012982731554160128,0.04898344049176325,0.0276870050933419
3,17,tau_rope,^GSPC,2022-01-01,2024-12-31,2,0.0007354985799383642,,,,0.01839874411302983,0.0708314903702962,0.010728890947181977
3,17,tau_rope,^GSPC,2022-01-01,2024-12-31,3,0.00044655305927994313,,,,0.029607535321821036,0.11861389825973957,0.0073431846641063446
3,27,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.002027637485696993,,,,-0.010486656200941913,-0.039886557711453385,0.008294167671358212
