model_kind,model_label,nobs,rsquared,rsquared_adj,aic,bic
model0,Model 0,8534,3.3306690738754696e-16,3.3306690738754696e-16,-55291.92728098364,-55284.875467519894
model1,Model 1,8534,0.00043346908476205037,0.0001991316024234635,-55291.62730813466,-55270.471867743414
model2,Model 2,8534,0.0012129740387011312,0.0008617007587616854,-55296.285084574076,-55268.077830719085
model3,Model 3,8534,0.0014108867765061373,0.0010596831024534126,-55297.97629062869,-55269.7690367737
model4,Model 4,8534,0.002987711841428209,0.0024031596086897533,-55307.46257891774,-55265.15169813525
model2_vix,Model 2V,8534,0.001330728479208232,0.000979496613491726,-55297.29128070235,-55269.08402684736
