model_kind,model_label,regime,n_obs,mae,rmse,mean_y_true,mean_pred,index_symbol,indexret_spec,horizon
model0,Model 0,0,38,0.011232472381949703,0.013895314639364236,-0.0002999999999999998,0.00021946206484020817,^GSPC,ret5,1
model0,Model 0,1,261,0.012785311587215627,0.016907389779287848,-0.0004613026819923371,0.0002332791392190707,^GSPC,ret5,1
model0,Model 0,2,628,0.008100273839556043,0.010691297289135718,6.815286624203818e-05,0.00021898600799023045,^GSPC,ret5,1
model0,Model 0,3,329,0.009447491128121509,0.015407178053281182,0.0006425531914893615,0.00022799564693889754,^GSPC,ret5,1
model1,Model 1,0,38,0.011209925042711996,0.01390390925773713,-0.0002999999999999998,-0.00010936123817909427,^GSPC,ret5,1
model1,Model 1,1,261,0.012820636350645937,0.016899170291119543,-0.0004613026819923371,-0.00013158213533161366,^GSPC,ret5,1
model1,Model 1,2,628,0.008096159598798065,0.010695156885076551,6.815286624203818e-05,0.00034665018808277776,^GSPC,ret5,1
model1,Model 1,3,329,0.00944422690653321,0.015407752606978789,0.0006425531914893615,0.0003191720487086909,^GSPC,ret5,1
model2,Model 2,0,38,0.011431231078623089,0.014063722614808188,-0.0002999999999999998,0.0007024322601729725,^GSPC,ret5,1
model2,Model 2,1,261,0.012867264232364325,0.016914900821826395,-0.0004613026819923371,-0.0004463945273671466,^GSPC,ret5,1
model2,Model 2,2,628,0.008099118436194621,0.010691859362478587,6.815286624203818e-05,0.0002370795472005638,^GSPC,ret5,1
model2,Model 2,3,329,0.009432926794872145,0.01540020023975612,0.0006425531914893615,0.0004750241915904228,^GSPC,ret5,1
model2_vix,Model 2V,0,38,0.011448209402356862,0.014077004482058873,-0.0002999999999999998,0.0007303238937882799,^GSPC,ret5,1
model2_vix,Model 2V,1,261,0.01285429052014466,0.01690211367919214,-0.0004613026819923371,-0.0003816506352106721,^GSPC,ret5,1
model2_vix,Model 2V,2,628,0.008096810014550229,0.010690675636298382,6.815286624203818e-05,0.0002494349787115625,^GSPC,ret5,1
model2_vix,Model 2V,3,329,0.009436565714777852,0.015403539086265098,0.0006425531914893615,0.00046239886378240507,^GSPC,ret5,1
model3,Model 3,0,38,0.011392057396810484,0.014014705243651726,-0.0002999999999999998,0.0006889441121875997,^GSPC,ret5,1
model3,Model 3,1,261,0.012824640950362752,0.016901768631068407,-0.0004613026819923371,-0.0002537725313372147,^GSPC,ret5,1
model3,Model 3,2,628,0.008099681549699866,0.010684975039170003,6.815286624203818e-05,0.00010174822965350065,^GSPC,ret5,1
model3,Model 3,3,329,0.009447891108294809,0.015410881160096045,0.0006425531914893615,0.00037798585845277713,^GSPC,ret5,1
model4,Model 4,0,38,0.01145780262600549,0.014195654311150547,-0.0002999999999999998,0.00045058622096957174,^GSPC,ret5,1
model4,Model 4,1,261,0.012818123261844627,0.016941323339816152,-0.0004613026819923371,-0.00019031107364734425,^GSPC,ret5,1
model4,Model 4,2,628,0.008088813353233961,0.010655610947983217,6.815286624203818e-05,0.00017217860372255984,^GSPC,ret5,1
model4,Model 4,3,329,0.009476954535618112,0.015364901842101007,0.0006425531914893615,0.0003588450776041473,^GSPC,ret5,1
