model_kind,model_label,nobs,rsquared,rsquared_adj,aic,bic,index_symbol,indexret_spec,horizon
model0,Model 0,8530,-2.220446049250313e-16,-2.220446049250313e-16,-40101.472704679734,-40094.42136003925,^GSPC,ret1,5
model1,Model 1,8530,0.0009010995774982877,0.0006667618501797756,-40105.16254925422,-40084.00851533277,^GSPC,ret1,5
model2,Model 2,8530,0.0029335944976739414,0.002582761842676695,-40120.53304217779,-40092.32766361585,^GSPC,ret1,5
model3,Model 3,8530,0.007092175639888176,0.006742806243561716,-40156.184507657876,-40127.97912909593,^GSPC,ret1,5
model4,Model 4,8530,0.009756111866984774,0.009175255527160142,-40175.100948736435,-40132.79288089352,^GSPC,ret1,5
model2_vix,Model 2V,8530,0.002670160592252002,0.0023192352441142594,-40118.27963718663,-40090.074258624685,^GSPC,ret1,5
