model_kind,vs,t,p,n
econ_time,concat_a,-1.124160102896176,0.2637194049340212,98
econ_time:pe_only,concat_a,-1.1536321585507259,0.25148564373444676,98
econ_time:qk_only,concat_a,-0.5735788802016253,0.5675803077336921,98
