model_kind,vs,t,p,n
static,concat_a,-2.356317224203267,0.020468218949122964,98
tau_rope,concat_a,-0.5928362138211563,0.5546704010931246,98
learned_tau_rope,concat_a,-0.9183609020515406,0.3607078968400306,98
