model_kind,vs,t,p,n
static,concat_a,-2.356317224203267,0.020468218949122964,98
econ_time,concat_a,-1.818576609546219,0.07206193569417768,98
econ_time:pe_only,concat_a,-1.7809638085561028,0.07804868445091692,98
econ_time:qk_only,concat_a,-2.0890208601615505,0.03932383250889221,98
