model_kind,vs,t,p,n
static,concat_a,-2.3554514232075694,0.020513317925890794,98
concat_a:binned_intensity_only,concat_a,-2.4197662283460004,0.017393136592753638,98
film_a:binned_intensity_only,concat_a,0.007692702046669468,0.9938779714616848,98
concat_a:binned_all,concat_a,-2.732514266886347,0.007469481304469282,98
film_a:binned_all,concat_a,1.4202840348112062,0.15873130572666652,98
film_a:intensity_only,concat_a,-0.013515561528524393,0.9892442301342443,98
