model_kind,vs,t,p,n
static,concat_a,1.9081641516970218,0.05932713583184469,98
tau_rope,concat_a,2.8456941779182223,0.005407250890025272,98
tau_rope_linear,concat_a,3.434088694268145,0.0008760841733892195,98
