epochs,seed,model_kind,ic,static_ic,below_static,concat_ic,below_concat,pe_scale_mean
1,7,learned_tau_rope,0.053328100470957616,-0.03119309262166406,False,0.041868131868131875,False,
1,7,tau_rope,0.028924646781789635,-0.03119309262166406,False,0.041868131868131875,True,
1,17,learned_tau_rope,-0.03273940345368915,0.04318681318681319,True,0.054654631083202516,True,
1,17,tau_rope,-0.04550235478806908,0.04318681318681319,True,0.054654631083202516,True,
1,27,learned_tau_rope,0.05247252747252747,0.05129513343799058,False,0.0623861852433281,True,
1,27,tau_rope,0.035,0.05129513343799058,True,0.0623861852433281,True,
3,7,learned_tau_rope,0.006381475667189954,-0.011428571428571425,False,0.0713465743575086,True,
3,7,tau_rope,0.06589481946624805,-0.011428571428571425,False,0.0713465743575086,True,
3,17,learned_tau_rope,0.04328100470957614,-0.03613392773153558,False,0.03069858712715855,False,
3,17,tau_rope,-0.03178178963893249,-0.03613392773153558,False,0.03069858712715855,True,
3,27,learned_tau_rope,0.05641247120402824,0.0785713983731266,True,0.06939627026816254,True,
3,27,tau_rope,0.05362637362637362,0.0785713983731266,True,0.06939627026816254,True,
