ic,icir,mae,tau_last_mean,market_shift_mean,pe_scale_mean,alpha_mean,fusion_gate_mean,context_gate_mean,bias_abs_mean,qk_abs_mean,bias_to_qk_ratio,tau_dev_std_mean,step_dev_std_mean,tau_corr_mean,step_intensity_spearman_mean,tau_swap_delta_mean,pred_swap_delta_mean,bias_swap_delta_mean,attn_swap_delta_mean,qk_swap_delta_mean,rand_attn_swap_delta_mean,rand_qk_swap_delta_mean,attn_topk_delta_mean,attn_kl_mean,epochs,seed,model_kind,index_symbol,start,end
0.041868131868131875,0.1583526395331897,0.007149924655538473,,,,,,,,,,,,,,,,,,,,,,,1,7,concat_a,^GSPC,2022-01-01,2024-12-31
0.053328100470957616,0.2132136953215878,0.007356086874008896,28.863645164334045,0.0,,,0.37593967581281856,,,0.13059884238303923,,0.040713077658141146,0.0019463388378760417,0.9999992233149859,0.379945260906793,0.00020821148096061102,4.278761999947684e-09,,1.9710252144834936e-07,6.0655274811157435e-06,1.7917995202359244e-05,0.0005493746755410586,9.338240202765167e-08,1.0069026299034684e-08,1,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31
-0.03119309262166406,-0.11980209450136413,0.008614610112796068,,,,,,,,,,,,,,,,,,,,,,,1,7,static,^GSPC,2022-01-01,2024-12-31
0.028924646781789635,0.13795450501124762,0.016822995790804266,31.641736692311813,0.0,,1.0060337781906128,0.3510770362129017,,,0.07961608224377341,,1.4720847773916867,0.12885085989398007,0.9978913822952582,1.0,0.014013306685932437,2.058877096492417e-06,,1.619641582080049e-05,0.0004628662527443803,0.0012375162025362405,0.03537453803894281,1.9272904579078646e-05,1.2561307558983998e-05,1,7,tau_rope,^GSPC,2022-01-01,2024-12-31
0.054654631083202516,0.21143226901078452,0.010336083239465908,,,,,,,,,,,,,,,,,,,,,,,1,17,concat_a,^GSPC,2022-01-01,2024-12-31
-0.03273940345368915,-0.12627642142151185,0.007345425589438951,29.091107465782944,0.0,,,0.23225658588263454,,,0.13855311522070243,,0.03557252946632857,0.0019123431723398557,0.9999992628486789,0.39855409382190676,0.0002060997082610681,1.9795736488030883e-08,,2.6567129260243116e-07,7.903982215645315e-06,2.359707400495265e-05,0.0007047209627742224,1.2296782759103643e-07,1.827607327759392e-08,1,17,learned_tau_rope,^GSPC,2022-01-01,2024-12-31
0.04318681318681319,0.1637411039699101,0.00973518551788316,,,,,,,,,,,,,,,,,,,,,,,1,17,static,^GSPC,2022-01-01,2024-12-31
-0.04550235478806908,-0.16490994379499366,0.026705615137163213,31.655335114926707,0.0,,1.0070602893829346,0.2953753237699976,,,0.24912583065884453,,1.4751050536364925,0.12900754501168826,0.9978877774306706,0.9999998634677115,0.01403032168860034,4.639065995508311e-06,,3.665773616153367e-05,0.0010050036823757145,0.002842189121548305,0.0797955696048139,6.445730982612039e-05,6.270281832628973e-05,1,17,tau_rope,^GSPC,2022-01-01,2024-12-31
0.0623861852433281,0.23443977702010954,0.009609869528465317,,,,,,,,,,,,,,,,,,,,,,,1,27,concat_a,^GSPC,2022-01-01,2024-12-31
0.05247252747252747,0.18891199620972712,0.009064005276579072,29.15661317474988,0.0,,,0.37493852356258706,,,0.1346343459918791,,0.05500246006615308,0.0022803623756697897,0.9999989520530311,0.3795915857422022,0.0002447645402838932,3.3986051471865905e-08,,1.4452765132741012e-07,4.191597118937797e-06,1.2581188022333746e-05,0.00036342036073452915,1.52309599503515e-07,5.071817096313995e-09,1,27,learned_tau_rope,^GSPC,2022-01-01,2024-12-31
0.05129513343799058,0.1861069745713051,0.03198428710518591,,,,,,,,,,,,,,,,,,,,,,,1,27,static,^GSPC,2022-01-01,2024-12-31
0.035,0.1464140516075439,0.008220901664737275,31.508219096125387,0.0,,0.9959412813186646,0.3113117790465452,,,0.12086983028115059,,1.4426292831800422,0.127312827836342,0.9979269236934428,0.9999999544740097,0.013846282798188682,2.722390452209784e-06,,2.5017609291446243e-05,0.0007647471748083374,0.001966845474101375,0.060639572075938765,2.8048846483104673e-05,2.8724108810820327e-05,1,27,tau_rope,^GSPC,2022-01-01,2024-12-31
0.0713465743575086,0.2641216615130136,0.007273167095062727,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a,^GSPC,2022-01-01,2024-12-31
0.006381475667189954,0.026360529324817257,0.007210327352502864,28.35815532840028,0.0,,,0.3101335399613088,,,0.10685639715012239,,0.19412301898002624,0.0017590850057455768,0.9999993583377527,0.28441152067090797,0.00019281518155274134,4.704509462629046e-09,,1.1758540203308424e-07,3.5814216935436054e-06,1.0019093148009827e-05,0.0003052336253203604,7.666725120337068e-08,3.499682662623487e-09,3,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31
-0.011428571428571425,-0.047063653745941667,0.007236244960912565,,,,,,,,,,,,,,,,,,,,,,,3,7,static,^GSPC,2022-01-01,2024-12-31
0.06589481946624805,0.2669622128719855,0.00721003842069554,31.62260236545485,0.0,,1.0045889616012573,0.2274697776959867,,,0.0681258915349537,,1.4678413055989208,0.12863042853696613,0.9978964894401784,1.0,0.013989366056891729,7.823934512478965e-07,,1.3748445241932986e-05,0.0003985177825338074,0.001034186691491525,0.029892203935602567,1.4982794446226837e-05,8.739711118518504e-06,3,7,tau_rope,^GSPC,2022-01-01,2024-12-31
0.03069858712715855,0.13260728304434602,0.007636617251661164,,,,,,,,,,,,,,,,,,,,,,,3,17,concat_a,^GSPC,2022-01-01,2024-12-31
0.04328100470957614,0.19594042266227357,0.007174972375751052,28.71663881807911,0.0,,,0.14492274250302997,,,0.13024435176533095,,0.0857461299367097,0.0015552984963394512,0.9999994878866234,0.3033794333898101,0.00018405559020739392,1.0002024319707132e-08,,2.4878392965241135e-07,7.416614751640068e-06,2.247284443236757e-05,0.000674389394954808,8.841264408189016e-08,1.5022709367610027e-08,3,17,learned_tau_rope,^GSPC,2022-01-01,2024-12-31
-0.03613392773153558,-0.13271548715226864,0.007181881154127119,,,,,,,,,,,,,,,,,,,,,,,3,17,static,^GSPC,2022-01-01,2024-12-31
-0.03178178963893249,-0.11994480152521748,0.007268980811868575,31.678081570839396,0.0,,1.0087767839431763,0.23946875223699882,,,0.24945583843455021,,1.4801651373201488,0.1292696508902068,0.997881714786802,1.0,0.014058783305998968,3.317144452309122e-06,,3.765568805963029e-05,0.001020607585847682,0.00289594589052805,0.08050191786292256,7.142646348683582e-05,6.588251172411683e-05,3,17,tau_rope,^GSPC,2022-01-01,2024-12-31
0.06939627026816254,0.3007468679718415,0.008437270233162309,,,,,,,,,,,,,,,,,,,,,,,3,27,concat_a,^GSPC,2022-01-01,2024-12-31
0.05641247120402824,0.22728966087241914,0.007230910729254572,28.744697648651744,0.0,,,0.22747772389528703,,,0.12691338949969835,,0.07713535903211759,0.0022952318107186606,0.9999988468325868,0.23194568656475978,0.0002630857578140199,2.50856487118468e-08,,1.0847262478935182e-07,3.1251109950452313e-06,9.412838160692306e-06,0.0002663954056470175,7.968046259587917e-08,2.82398285801565e-09,3,27,learned_tau_rope,^GSPC,2022-01-01,2024-12-31
0.0785713983731266,0.3100164472668757,0.007532536397375666,,,,,,,,,,,,,,,,,,,,,,,3,27,static,^GSPC,2022-01-01,2024-12-31
