epochs,seed,model_kind,ic,static_ic,below_static,concat_ic,below_concat,pe_scale_mean
3,7,concat_a:indexret_only,0.05803767660910518,-0.011428571428571425,False,0.0713465743575086,True,
3,7,concat_a:intensity_indexret,0.07339500141101732,-0.011428571428571425,False,0.0713465743575086,False,
3,7,concat_a:intensity_only,0.014073783359497641,-0.011428571428571425,False,0.0713465743575086,True,
3,7,concat_a:position_only,0.0558365378764518,-0.011428571428571425,False,0.0713465743575086,True,
3,17,concat_a:indexret_only,-0.05356357927786499,-0.03613392773153558,True,0.03069858712715855,True,
3,17,concat_a:intensity_indexret,0.0331048553735429,-0.03613392773153558,False,0.03069858712715855,False,
3,17,concat_a:intensity_only,-0.05180533751962323,-0.03613392773153558,True,0.03069858712715855,True,
3,17,concat_a:position_only,-0.05263736263736263,-0.03613392773153558,True,0.03069858712715855,True,
3,27,concat_a:indexret_only,0.05699372056514913,0.0785713983731266,True,0.06939627026816254,True,
3,27,concat_a:intensity_indexret,0.07108320251177394,0.0785713983731266,True,0.06939627026816254,False,
3,27,concat_a:intensity_only,0.057519623233908954,0.0785713983731266,True,0.06939627026816254,True,
3,27,concat_a:position_only,0.05313971742543171,0.0785713983731266,True,0.06939627026816254,True,
