model_kind,model_label,regime,n_obs,mae,rmse,mean_y_true,mean_pred,index_symbol,indexret_spec,horizon
model0,Model 0,0,38,0.03130924712843946,0.037630161879771445,-0.00545526315789472,0.0010966115404014319,^GSPC,ret5,5
model0,Model 0,1,261,0.027603421648402567,0.03557797912373735,-0.000708812260536387,0.0011671184804740663,^GSPC,ret5,5
model0,Model 0,2,628,0.016865996225267382,0.022705553474175782,0.00014872611464969201,0.00109603209422082,^GSPC,ret5,5
model0,Model 0,3,325,0.02040065018223852,0.03201488318902383,0.0028806153846153903,0.0011417427935597546,^GSPC,ret5,5
model1,Model 1,0,38,0.031495574309246856,0.0378411892206992,-0.00545526315789472,0.0007712727523179653,^GSPC,ret5,5
model1,Model 1,1,261,0.027664031186031633,0.03553148365241167,-0.000708812260536387,-0.00013615416438859438,^GSPC,ret5,5
model1,Model 1,2,628,0.016862401621423925,0.02274685234837475,0.00014872611464969201,0.0018325860898706454,^GSPC,ret5,5
model1,Model 1,3,325,0.020460475030407536,0.03206910210154841,0.0028806153846153903,0.0009256581639948781,^GSPC,ret5,5
model2,Model 2,0,38,0.03306107828487453,0.03943240342807724,-0.00545526315789472,0.004052762050013763,^GSPC,ret5,5
model2,Model 2,1,261,0.027842298153332223,0.035616836511988985,-0.000708812260536387,-0.0014586045150210684,^GSPC,ret5,5
model2,Model 2,2,628,0.016861293483209742,0.02272430650483229,0.00014872611464969201,0.0013900353970951968,^GSPC,ret5,5
model2,Model 2,3,325,0.020336364631688666,0.03199806937836432,0.0028806153846153903,0.0015648403236670219,^GSPC,ret5,5
model2_vix,Model 2V,0,38,0.03298310213646802,0.03927160174388945,-0.00545526315789472,0.003603767527492775,^GSPC,ret5,5
model2_vix,Model 2V,1,261,0.027724581844582635,0.0355708324711592,-0.000708812260536387,-0.001016425723457497,^GSPC,ret5,5
model2_vix,Model 2V,2,628,0.01685778524684101,0.022726005999848364,0.00014872611464969201,0.001464475469023115,^GSPC,ret5,5
model2_vix,Model 2V,3,325,0.020358763013286124,0.032012429107875405,0.0028806153846153903,0.0014586422115458355,^GSPC,ret5,5
model3,Model 3,0,38,0.032622605219341336,0.03901649032895987,-0.00545526315789472,0.0034014778451510325,^GSPC,ret5,5
model3,Model 3,1,261,0.027667211108895716,0.03541232641045572,-0.000708812260536387,-0.001797324828523546,^GSPC,ret5,5
model3,Model 3,2,628,0.016776732971520342,0.022663318434267568,0.00014872611464969201,0.0008036654063923014,^GSPC,ret5,5
model3,Model 3,3,325,0.020376568820034233,0.03204432184596921,0.0028806153846153903,0.0019301726116226871,^GSPC,ret5,5
model4,Model 4,0,38,0.033519272865773504,0.04005781034501243,-0.00545526315789472,0.002315637166951389,^GSPC,ret5,5
model4,Model 4,1,261,0.027931672076999658,0.03588528018886228,-0.000708812260536387,-0.0015192496094930815,^GSPC,ret5,5
model4,Model 4,2,628,0.016506219701202723,0.02237324687758542,0.00014872611464969201,0.0011338793755881922,^GSPC,ret5,5
model4,Model 4,3,325,0.020201272648130854,0.03161331405463455,0.0028806153846153903,0.001833535903813731,^GSPC,ret5,5
