model_kind,model_label,n_obs,mae,rmse,pred_y_corr,direction_acc,oos_r2_vs_model0,index_symbol,indexret_spec,horizon
model0,Model 0,1252,0.020460304616461027,0.028835923017854866,-0.041899161646013025,0.5503194888178914,0.0,^GSPC,ret5,5
model1,Model 1,1252,0.020492321538691943,0.02886430515019267,-0.023223511314466573,0.542332268370607,-0.0019694947903488025,^GSPC,ret5,5
model2,Model 2,1252,0.020544226522044313,0.02892145364183238,-0.03347786397133405,0.5375399361022364,-0.005941025067848882,^GSPC,ret5,5
model3,Model 3,1252,0.020462439513085184,0.028841158120575177,0.027735202690230425,0.5543130990415336,-0.0003631288603560545,^GSPC,ret5,5
model4,Model 4,1252,0.020363592942487335,0.02876918814331915,0.0768532358962197,0.560702875399361,0.004623236950141996,^GSPC,ret5,5
model2_vix,Model 2V,1252,0.020521374486386575,0.02890780167910765,-0.028482835404908143,0.5343450479233227,-0.004991568771699484,^GSPC,ret5,5
