market,model_kind,date,ic,mae,high_vol
GSPC,concat_a,2024-04-16,-0.5207692307692308,0.008805603968212308,1
GSPC,concat_a,2024-04-17,-0.23153846153846153,0.008032525132875815,1
GSPC,concat_a,2024-04-18,-0.4553846153846154,0.009635378094389975,0
GSPC,concat_a,2024-04-19,-0.19230769230769232,0.011358982203528212,0
GSPC,concat_a,2024-04-22,-0.08692307692307692,0.009674185977782988,0
GSPC,concat_a,2024-04-23,-0.2453846153846154,0.0066256531490943675,0
GSPC,concat_a,2024-04-24,0.08384615384615385,0.006109998775063959,1
GSPC,concat_a,2024-04-25,-0.1946153846153846,0.006824323209730166,0
GSPC,concat_a,2024-04-26,0.14076923076923076,0.007677885647717569,0
GSPC,concat_a,2024-04-29,0.03923076923076923,0.007344238653313324,1
GSPC,concat_a,2024-04-30,-0.11538461538461539,0.005976629442447982,1
GSPC,concat_a,2024-05-01,0.1946153846153846,0.007616017758846233,1
GSPC,concat_a,2024-05-02,0.27692307692307694,0.006649588481232,1
GSPC,concat_a,2024-05-03,0.22230769230769232,0.006698952803853865,1
GSPC,concat_a,2024-05-06,0.06615384615384615,0.005324674843577621,1
GSPC,concat_a,2024-05-07,-0.23615384615384616,0.005908445868990328,1
GSPC,concat_a,2024-05-08,0.04538461538461538,0.005170999683905339,1
GSPC,concat_a,2024-05-09,0.011538461538461539,0.005565884798997964,1
GSPC,concat_a,2024-05-10,0.049999999999999996,0.005511114780674624,1
GSPC,concat_a,2024-05-13,0.31384615384615383,0.004630568696302296,1
GSPC,concat_a,2024-05-14,-0.013846153846153848,0.005923378922743659,1
GSPC,concat_a,2024-05-15,0.35846153846153844,0.005817647424992107,1
GSPC,concat_a,2024-05-16,0.30846153846153845,0.0053834289087898645,1
GSPC,concat_a,2024-05-17,-0.009999999999999998,0.006002884255094554,1
GSPC,concat_a,2024-05-20,0.19076923076923075,0.00778651921544218,1
GSPC,concat_a,2024-05-21,-0.05538461538461539,0.0067820071929599645,1
GSPC,concat_a,2024-05-22,-0.20846153846153848,0.006658834264380812,1
GSPC,concat_a,2024-05-23,0.18769230769230769,0.005740261489991051,1
GSPC,concat_a,2024-05-24,-0.16538461538461538,0.006857174895703748,1
GSPC,concat_a,2024-05-28,0.2976923076923077,0.006171734664821964,0
GSPC,concat_a,2024-05-29,-0.07692307692307691,0.0053130980947753035,0
GSPC,concat_a,2024-05-30,-0.27153846153846156,0.005470148173626463,0
GSPC,concat_a,2024-05-31,0.3853846153846154,0.007530958016868621,0
GSPC,concat_a,2024-06-03,0.25846153846153846,0.005396209135651532,0
GSPC,concat_a,2024-06-04,-0.09923076923076923,0.0054938899760599525,0
GSPC,concat_a,2024-06-05,0.02846153846153846,0.008026836435310457,0
GSPC,concat_a,2024-06-06,-0.27153846153846156,0.007946817703777849,0
GSPC,concat_a,2024-06-07,-0.06230769230769231,0.0074831277535121555,0
GSPC,concat_a,2024-06-10,-0.05692307692307692,0.011587499938905153,0
GSPC,concat_a,2024-06-11,0.21923076923076923,0.01098715485306449,0
GSPC,concat_a,2024-06-12,-0.09999999999999999,0.006226945770904365,0
GSPC,concat_a,2024-06-13,-0.12230769230769231,0.007367136409156912,0
GSPC,concat_a,2024-06-14,0.3776923076923077,0.008330365493893592,0
GSPC,concat_a,2024-06-17,-0.10846153846153846,0.0076754857320338234,0
GSPC,concat_a,2024-06-18,0.2976923076923077,0.006851560560753531,0
GSPC,concat_a,2024-06-20,0.3561538461538461,0.005733553172904024,0
GSPC,concat_a,2024-06-21,-0.0876923076923077,0.007155232167569869,0
GSPC,concat_a,2024-06-24,0.42615384615384616,0.009027404938824413,0
GSPC,concat_a,2024-06-25,0.15999999999999998,0.008357810191810072,0
GSPC,concat_a,2024-06-26,0.013076923076923076,0.006674231860379168,0
GSPC,concat_a,2024-06-27,0.023076923076923078,0.00703870413941326,0
GSPC,concat_a,2024-06-28,0.03,0.0070383376872632086,0
GSPC,concat_a,2024-07-01,-0.17923076923076922,0.006228066220064585,0
GSPC,concat_a,2024-07-02,-0.24846153846153846,0.005020650802471173,0
GSPC,concat_a,2024-07-03,0.4976923076923077,0.00570575915626246,0
GSPC,concat_a,2024-07-05,-0.3623076923076923,0.008301283507607836,0
GSPC,concat_a,2024-07-08,0.43076923076923074,0.00864247552759476,0
GSPC,concat_a,2024-07-09,-0.47307692307692306,0.009135644589550757,0
GSPC,concat_a,2024-07-10,-0.22999999999999998,0.009418180326465476,0
GSPC,concat_a,2024-07-11,0.013076923076923076,0.006754536365624464,0
GSPC,concat_a,2024-07-12,-0.016923076923076923,0.006825098777189787,0
GSPC,concat_a,2024-07-15,0.30230769230769233,0.0075096739130094126,0
GSPC,concat_a,2024-07-16,0.40076923076923077,0.01083970985840999,0
GSPC,concat_a,2024-07-17,0.20230769230769227,0.007182641872204774,0
GSPC,concat_a,2024-07-18,-0.27999999999999997,0.006281581734547146,0
GSPC,concat_a,2024-07-19,-0.2053846153846154,0.005956253482727312,0
GSPC,concat_a,2024-07-22,-0.16846153846153847,0.007568642380647345,0
GSPC,concat_a,2024-07-23,0.4392307692307692,0.01149543698178602,0
GSPC,concat_a,2024-07-24,0.3230769230769231,0.009538491995772317,0
GSPC,concat_a,2024-07-25,-0.08307692307692309,0.011544106256915224,1
GSPC,concat_a,2024-07-26,-0.06846153846153846,0.00955443168990307,1
GSPC,concat_a,2024-07-29,-0.32692307692307687,0.010161480684764627,1
GSPC,concat_a,2024-07-30,-0.5576923076923077,0.009581661652773577,1
GSPC,concat_a,2024-07-31,-0.4084615384615385,0.010637700743973223,1
GSPC,concat_a,2024-08-01,0.15076923076923077,0.009798573402222212,1
GSPC,concat_a,2024-08-02,-0.18461538461538463,0.011747212884947615,1
GSPC,concat_a,2024-08-05,-0.1423076923076923,0.009353892030194355,1
GSPC,concat_a,2024-08-06,-0.3546153846153846,0.005802857622038544,1
GSPC,concat_a,2024-08-07,-0.2892307692307692,0.00560013980371874,1
GSPC,concat_a,2024-08-08,-0.03230769230769231,0.0040842590937972675,1
GSPC,concat_a,2024-08-09,0.1946153846153846,0.005519225664902424,1
GSPC,concat_a,2024-08-12,0.6023076923076923,0.00639091481425562,1
GSPC,concat_a,2024-08-13,-0.19538461538461538,0.006113133756443804,1
GSPC,concat_a,2024-08-14,-0.42923076923076925,0.0049062783371482096,1
GSPC,concat_a,2024-08-15,-0.42153846153846153,0.004957728611770976,1
GSPC,concat_a,2024-08-16,0.19,0.0034249715512850677,1
GSPC,concat_a,2024-08-19,-0.30000000000000004,0.004112782670417768,1
GSPC,concat_a,2024-08-20,0.09230769230769231,0.00287827836124046,1
GSPC,concat_a,2024-08-21,-0.27384615384615385,0.00347555910353544,1
GSPC,concat_a,2024-08-22,0.22461538461538463,0.003323117789695913,1
GSPC,concat_a,2024-08-23,-0.08692307692307692,0.00563995168486141,1
GSPC,concat_a,2024-08-26,0.3384615384615385,0.004989095675991788,1
GSPC,concat_a,2024-08-27,-0.2907692307692308,0.005170106175937648,1
GSPC,concat_a,2024-08-28,-0.14076923076923076,0.00440775119874155,1
GSPC,concat_a,2024-08-29,-0.15461538461538463,0.005297805123991488,1
GSPC,concat_a,2024-08-30,-0.03,0.006490317295538235,1
GSPC,concat_a,2024-09-03,-0.19153846153846155,0.007214446210418795,1
GSPC,concat_a,2024-09-04,-0.22384615384615386,0.0068937918881419565,1
GSPC,concat_a,2024-09-05,0.1446153846153846,0.005647997472842649,1
GSPC,concat_a,2024-09-06,-0.03153846153846154,0.004520245650783144,1
GSPC,concat_a,2024-09-09,-0.21461538461538462,0.007429149883100715,1
GSPC,concat_a,2024-09-10,0.3707692307692308,0.007759703730698622,1
GSPC,concat_a,2024-09-11,0.57,0.008465858121635335,1
GSPC,concat_a,2024-09-12,-0.2907692307692308,0.008306676838546953,1
