market,metric,mean,t_nw,p_one_sided,n
GSPC,delta_ic,0.03779110797459421,1.0607203156538372,0.14440851227766904,109
GSPC,delta_mae,9.825090732054398e-05,2.088168338938044,0.01839132611547778,109
IXIC,delta_ic,0.03964656964656964,1.137403478040583,0.12768482700087802,111
IXIC,delta_mae,8.591763310443571e-05,1.992879424762401,0.02313732592706652,111
