epochs,model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
1,concat_a,0.041868131868131875,,0.1583526395331897,0.007149924655538473,,,,,,,
1,econ_time,0.07413657770800629,,0.2851987367439916,0.007214906626074355,,0.100220687687397,,0.4328150873524802,0.613533124583108,0.00010442509582000119,0.003420813176971005
1,static,-0.03119309262166406,,-0.11980209450136413,0.008614610112796068,,,,,,,
3,concat_a,0.0713465743575086,,0.2641216615130136,0.007273167095062727,,,,,,,
3,econ_time,0.0645054945054945,,0.23603569006957115,0.007302708276878923,,0.1002769023180008,,0.3523924093343774,0.6128077312391631,0.00011247147839250309,0.0035651620260762924
3,static,-0.011428571428571425,,-0.047063653745941667,0.007236244960912565,,,,,,,
