model_kind,vs,t,p,n
static,concat_a,-2.600533036593069,0.010763103277355296,98
tau_rope,concat_a,-0.20666068122730114,0.8367080484678489,98
learned_tau_rope,concat_a,-2.324363077814717,0.02219209527743764,98
