model_kind,vs,t,p,n
static,concat_a,-1.8729263087990295,0.06408998043741537,98
concat_a:intensity_only,concat_a,-2.379091026676937,0.01931306076635479,98
concat_a:position_only,concat_a,-2.2149769596702784,0.029101882368748538,98
concat_a:indexret_only,concat_a,-2.0695337864837176,0.041154575305081674,98
concat_a:intensity_indexret,concat_a,0.4258844910239334,0.6711355254851235,98
concat_a:no_intensity,concat_a,-2.9231535633060775,0.004312299722612535,98
