ic,icir,mae,param_count,tau_last_mean,market_shift_mean,pe_scale_mean,alpha_mean,fusion_gate_mean,context_gate_mean,bias_abs_mean,qk_abs_mean,bias_to_qk_ratio,tau_dev_std_mean,step_dev_std_mean,tau_corr_mean,step_intensity_spearman_mean,tau_swap_delta_mean,pred_swap_delta_mean,bias_swap_delta_mean,attn_swap_delta_mean,qk_swap_delta_mean,rand_attn_swap_delta_mean,rand_qk_swap_delta_mean,attn_topk_delta_mean,attn_kl_mean,xip_h_int_norm_mean,xip_h_int_ratio_mean,xip_pred_delta_mean,xip_ic_off,xip_ic_drop,model_kind,seed
0.0306716559042486,0.1327416284478211,0.0076013083448526,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a,17
0.0063500784929356,0.026412946764573,0.0080506392470929,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a:binned_all,17
-0.0642543171114599,-0.2371148907900942,0.0105553914263039,45234,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a:binned_intensity_only,17
0.0837205651491365,0.3258110474691053,0.0071854593615244,45330,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:binned_all,17
0.0309105180533751,0.1263534568055877,0.0099898548363411,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:binned_intensity_only,17
0.0302511773940345,0.1235603442905066,0.0100209267447187,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:intensity_only,17
-0.0416960121179797,-0.1535102426541605,0.007227917377148,45202,,,,,,,,,,,,,,,,,,,,,,,,,,,,static,17
0.0746467817896389,0.3204169923114176,0.007773955514036,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a,27
0.0759419152276295,0.3210154362676555,0.0081389021891087,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a:binned_all,27
-0.038320251177394,-0.1430369813479962,0.0072771372518982,45234,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a:binned_intensity_only,27
0.0049653644353758,0.0175912587068164,0.0138810904216204,45330,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:binned_all,27
0.0056436420722134,0.0221111842786295,0.0071961740250945,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:binned_intensity_only,27
0.0068131868131868,0.0266270714079314,0.0071949176533425,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:intensity_only,27
0.037154277008112,0.1355328418158951,0.0327233061773633,45202,,,,,,,,,,,,,,,,,,,,,,,,,,,,static,27
-0.0402904238618524,-0.1491242591668178,0.0077637233878307,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a,7
-0.0479434850863422,-0.1769061435459615,0.007499125156011,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a:binned_all,7
0.0549372056514913,0.2108139370579025,0.0103200196442966,45234,,,,,,,,,,,,,,,,,,,,,,,,,,,,concat_a:binned_intensity_only,7
-0.0269073783359497,-0.1050745319605768,0.0087912779414957,45330,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:binned_all,7
0.0568367497930285,0.2022283573127453,0.0074557100312454,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:binned_intensity_only,7
0.0556122448979591,0.19857273432544,0.0074249961787884,45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,film_a:intensity_only,7
-0.029513343799058,-0.1146325555425635,0.0091580576224891,45202,,,,,,,,,,,,,,,,,,,,,,,,,,,,static,7
