model_kind,ic_mean,ic_std,icir_mean,icir_std,mae_mean,seeds
film_a:binned_intensity_only,0.03113030330620567,0.02559726154682891,0.11689766613232083,0.09043012765883328,0.008213912964227,3
film_a:intensity_only,0.030892203035060132,0.024405843621857954,0.11625338334129266,0.08620540300799234,0.008213613525616533,3
concat_a,0.021676004610678368,0.057994237794714874,0.10134478719747364,0.2363399414832616,0.007712995748906434,3
film_a:binned_all,0.020592850416187535,0.05694558111473802,0.07944259140511496,0.22200177061800638,0.009952609241546832,3
concat_a:binned_all,0.011449502878074301,0.062099929142737875,0.05684074649542234,0.25035147924142076,0.0078962221974042,3
static,-0.0113516929696419,0.042446745392954295,-0.044203318793609635,0.15686517845516598,0.016369760392333465,3
concat_a:binned_intensity_only,-0.015879120879120866,0.06268459157907814,-0.05644597836006263,0.23618543573464115,0.009384182774166234,3
