model_kind,vs,t,p,n
static,concat_a,-1.061785914033964,0.290969333377677,98
film_a,concat_a,-0.8625442022592548,0.3905156352729729,98
tau_rope,concat_a,-1.209094592964725,0.22956539792236422,98
