epochs,model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
1,concat_a,0.04973050758765044,0.017913825427056166,0.18914292653280196,0.008286540645619407,0.0010381812135847955,,,,,,
1,learned_tau_rope,0.028330716902145472,0.04287900628437779,0.10606637344413385,0.008320275751916264,0.0010356105809701654,,,0.32913387776434827,,1.2768419544252438e-07,3.8113503322994404e-06
1,static,0.02109628466771324,0.045465046434673834,0.07668199467995035,0.01677802757862171,0.013180920639376441,,,,,,
1,tau_rope,0.006674515960230245,0.047397636217863914,0.04123505164703233,0.017246539101851577,0.009255089773415277,,,0.3192500983249573,,2.261179122661215e-05,0.0006436424892075791
3,concat_a,0.05152537938252224,0.011893719181354881,0.2085803740858383,0.007712281389165507,0.0007833480755630806,,,,,,
3,learned_tau_rope,0.03571951857666143,0.025309969300529356,0.1511759719639695,0.007214397001405305,3.589938255425388e-05,,,0.22706512633635076,,7.928871476938059e-08,2.347215920400188e-06
3,static,0.010336299737673199,0.060370606853473355,0.04341243545622181,0.00731688750413845,0.00018872516985786065,,,,,,
3,tau_rope,0.03071690214547358,0.05443971264324164,0.1261020942841297,0.007210697463261934,6.116374366886097e-05,,,0.21848955611590626,,2.3028439381155883e-05,0.0006524127283922339
