epochs,seed,model_kind,ic,static_ic,below_static,concat_ic,below_concat,pe_scale_mean
1,7,learned_tau_rope,0.05364992150706435,-0.03119309262166406,False,0.02938775510204082,False,
1,7,tau_rope,0.028343799058084772,-0.03119309262166406,False,0.02938775510204082,True,
1,17,learned_tau_rope,-0.021177394034536893,0.04318681318681319,True,0.05665620094191523,True,
1,17,tau_rope,-0.04768445839874411,0.04318681318681319,True,0.05665620094191523,True,
1,27,learned_tau_rope,0.052519623233908956,0.05129513343799058,False,0.0631475667189953,True,
1,27,tau_rope,0.039364207221350075,0.05129513343799058,True,0.0631475667189953,True,
3,7,learned_tau_rope,0.007613814756671902,-0.011428571428571425,False,0.05096546310832026,True,
3,7,tau_rope,0.06862637362637362,-0.011428571428571425,False,0.05096546310832026,False,
3,17,learned_tau_rope,0.042833594976452116,-0.03613392773153558,False,0.0399215070643642,False,
3,17,tau_rope,-0.031664050235478795,-0.03613392773153558,False,0.0399215070643642,True,
3,27,learned_tau_rope,0.05671114599686028,0.0785713983731266,True,0.06368916797488225,True,
3,27,tau_rope,0.05518838304552591,0.0785713983731266,True,0.06368916797488225,True,
