epochs,seed,model_kind,vs,t,p,n
1,7,learned_tau_rope,concat_a,0.577435583769737,0.5649831511352774,98
1,7,static,concat_a,-2.1345185089591148,0.03532079716063779,98
1,7,tau_rope,concat_a,-0.04620709155322741,0.9632401876459806,98
1,17,learned_tau_rope,concat_a,-1.6391476313556803,0.10442204490296114,98
1,17,static,concat_a,-0.9364653581897712,0.3513593423151762,98
1,17,tau_rope,concat_a,-2.030682635205679,0.04502411155052325,98
1,27,learned_tau_rope,concat_a,-1.2840727350304042,0.20217511597026072,98
1,27,static,concat_a,-0.2612826100590739,0.7944285364737909,98
1,27,tau_rope,concat_a,-0.6974134927393038,0.4872123104428451,98
1,7,learned_tau_rope,static,1.7840602098153475,0.07754077518832445,98
1,7,tau_rope,static,1.665956911888487,0.09894836049726986,98
1,17,learned_tau_rope,static,-1.377202759108566,0.1716193922151621,98
1,17,tau_rope,static,-1.8633331450554953,0.06544081291100436,98
1,27,learned_tau_rope,static,0.025633085103210485,0.9796026570602223,98
1,27,tau_rope,static,-0.29287156109658324,0.7702459240034122,98
3,7,learned_tau_rope,concat_a,-1.688915529617275,0.09444785539029713,98
3,7,static,concat_a,-2.2009743258009338,0.03011000242292356,98
3,7,tau_rope,concat_a,0.5878521541786409,0.5579976353488498,98
3,17,learned_tau_rope,concat_a,0.10138954424393497,0.9194505220325662,98
3,17,static,concat_a,-2.464672869646094,0.015472533242167984,98
3,17,tau_rope,concat_a,-2.3431780972323137,0.021162157968152573,98
3,27,learned_tau_rope,concat_a,-0.25454457841999123,0.7996137258083411,98
3,27,static,concat_a,0.52204667802542,0.6028279591441625,98
3,27,tau_rope,concat_a,-0.36472663978556097,0.716109432921937,98
3,7,learned_tau_rope,static,1.2550258926420537,0.21248463691506186,98
3,7,tau_rope,static,2.0423963776256464,0.04382588810720791,98
3,17,learned_tau_rope,static,2.2006846308716,0.030131176901850933,98
3,17,tau_rope,static,0.2581377448481614,0.7968475056584148,98
3,27,learned_tau_rope,static,-0.7578748114624188,0.4503632430306458,98
3,27,tau_rope,static,-0.8972798860708933,0.3717912350561521,98
