epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,val_ic,val_icir,val_mae
1,7,concat_a,^IXIC,2022-01-01,2024-12-31,1,0.0008764355024526658,,-0.03362637362637362,-0.1572120606622338,0.007308355170845915
1,7,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,1,-0.046735941926812186,0.47573806459585477,-0.01371271585557299,-0.051695661799426536,0.0075109300427306045
1,7,static,^IXIC,2022-01-01,2024-12-31,1,0.0038818247020101946,,0.03018053375196232,0.12793447558139,0.009080647904593855
1,7,tau_rope,^IXIC,2022-01-01,2024-12-31,1,0.0029757354065013696,,-0.04364992150706435,-0.1899395555842072,0.017799295449117937
1,17,concat_a,^IXIC,2022-01-01,2024-12-31,1,0.004529176121282124,,-0.032864992150706436,-0.12740529831498695,0.008320647844624898
1,17,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,1,-0.04722319624975682,0.48101884370298825,0.0347723704866562,0.13573613809064458,0.009115970374618882
1,17,static,^IXIC,2022-01-01,2024-12-31,1,0.0014043610616784779,,-0.060455259026687594,-0.253497013718346,0.01050264163115896
1,17,tau_rope,^IXIC,2022-01-01,2024-12-31,1,0.008958299885436697,,0.017927786499215073,0.06732084675927273,0.027701911583981664
1,27,concat_a,^IXIC,2022-01-01,2024-12-31,1,0.002107372549831199,,-0.006554160125588704,-0.025128804338032287,0.00924773409798212
1,27,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,1,-0.04649124868393466,0.4803282426327011,-0.019010989010989018,-0.07218624677198314,0.009997265792035344
1,27,static,^IXIC,2022-01-01,2024-12-31,1,0.008231452077981777,,-0.05415227629513345,-0.21301373140349633,0.03082792800925123
1,27,tau_rope,^IXIC,2022-01-01,2024-12-31,1,0.003453451542716669,,-0.021428571428571422,-0.08229571805619115,0.008827510973155211
3,7,concat_a,^IXIC,2022-01-01,2024-12-31,1,0.0008764355024526658,,-0.03362637362637362,-0.1572120606622338,0.007308355170845915
3,7,concat_a,^IXIC,2022-01-01,2024-12-31,2,0.0002518868461710806,,-0.028265306122448985,-0.1330715652783897,0.00793578749543643
3,7,concat_a,^IXIC,2022-01-01,2024-12-31,3,0.0001839666245647867,,-0.0333481562955421,-0.14549528368385334,0.007591538037650304
3,7,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,1,-0.046735941926812186,0.47573806459585477,-0.01371271585557299,-0.051695661799426536,0.0075109300427306045
3,7,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,2,-0.05115119977937747,0.51363686338817,0.01452119309262166,0.062164459205090616,0.007472008505255593
3,7,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,3,-0.05214753463701294,0.5231105893446006,0.007291993720565149,0.03085734187101965,0.007470460461436325
3,7,static,^IXIC,2022-01-01,2024-12-31,1,0.0038818247020101946,,0.03018053375196232,0.12793447558139,0.009080647904593855
3,7,static,^IXIC,2022-01-01,2024-12-31,2,0.0005297355938252444,,0.028390894819466248,0.12136815884358171,0.0074202976267511355
3,7,static,^IXIC,2022-01-01,2024-12-31,3,0.00036413133669393934,,0.02488942891840076,0.10930142900530469,0.007452498265655294
3,7,tau_rope,^IXIC,2022-01-01,2024-12-31,1,0.0029757354065013696,,-0.04364992150706435,-0.1899395555842072,0.017799295449117937
3,7,tau_rope,^IXIC,2022-01-01,2024-12-31,2,0.0004475008223116137,,-0.02859497645211931,-0.11842117334270999,0.007551152444680898
3,7,tau_rope,^IXIC,2022-01-01,2024-12-31,3,0.00022590626746082893,,-0.05484301412872841,-0.2152334883416504,0.00735029615536971
