model_kind,vs,t,p,n
static,concat_a,-2.356317224203267,0.020468218949122964,98
econ_time,concat_a,0.7954771914068149,0.42827826824010395,98
econ_time:pe_only,concat_a,0.7355653857264932,0.4637701304725822,98
econ_time:qk_only,concat_a,0.31981160986659946,0.7497989606814528,98
