epochs,model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,step_intensity_spearman_mean,tau_corr_mean,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
1,concat_a,0.05296964939822083,0.010362287442253912,0.20140822852136128,0.009031959141156566,0.0016698463828457794,,,,,,,,
1,shape_signature_token,0.01537414965986395,0.057163854637808875,0.06077879846332801,0.018489432436217312,0.002277677339738588,,0.0,0.0,0.0,0.3530018362504284,0.0,0.0,0.0
1,simple_summary_token,0.0010648874934589176,0.0391645552828863,0.01157772936213374,0.020801291609676923,0.010012618994307398,,0.0,0.0,0.0,0.3542911884654947,0.0,0.0,0.0
3,concat_a,0.057147143917609895,0.0229258705120117,0.2324919375097337,0.0077823515266287335,0.0005955777767920541,,,,,,,,
3,shape_signature_token,-0.022561486132914702,0.04810557780819516,-0.07660165500116074,0.007747646978573319,0.0005220944820918418,,0.0,0.0,0.0,0.31501042442459637,0.0,0.0,0.0
3,simple_summary_token,-0.026658817373103078,0.05927060994530846,-0.12208434409822551,0.00770658981661618,0.00013394798000211772,,0.0,0.0,0.0,0.3078762497139626,0.0,0.0,0.0
