model_kind,ic_mean,ic_std,icir_mean,mae_mean,mae_std,pe_scale_mean,pe_scale_std,fusion_gate_mean,context_gate_mean,attn_swap_delta_mean,qk_swap_delta_mean
concat_a,0.041868131868131875,,0.1583526395331897,0.007149924655538473,,,,,,,
econ_time,0.07332810047095761,,0.27875567220789554,0.007192855823355641,,0.003261059056967497,,0.4337094102343734,0.6135206930491389,0.00010605409782384618,0.0034453159981236168
econ_time:pe_only,0.0562558869701727,,0.22138480017232307,0.007170465953646313,,0.003521609352901578,,0.43331216082280993,0.6134097613850419,5.5576716959523984e-06,1.9070034406690772e-05
econ_time:qk_only,0.05703296703296704,,0.2031113676858811,0.015964547420936233,,,,0.3980991244924312,0.6131314881723754,0.0001010243183510302,0.0032855562061755634
static,-0.03119309262166406,,-0.11980209450136413,0.008614610112796068,,,,,,,
