date,target,wml,index_close,position,intensity,bear,high_vol,vix_proxy,indexret,bear_x_intensity,bear_x_vix,position_x_intensity,intensity_x_indexret,regime,index_symbol,indexret_spec,horizon
1991-02-11,0.0001,-0.0088,368.5799865722656,0.10567157226992499,0.75,0.0,1.0,0.6865079365079365,0.02536088707357146,0.0,0.0,0.07925367920244375,0.019020665305178597,3,^GSPC,ret1,1
1991-02-12,-0.0034000000000000002,0.0001,365.5,0.09586182302130725,0.7579365079365079,0.0,1.0,0.7142857142857143,-0.008391468783066984,0.0,0.0,0.07265717538519716,-0.006360200545896007,3,^GSPC,ret1,1
1991-02-13,0.0016,-0.0034000000000000002,369.0199890136719,0.10580609183290945,0.7420634920634921,0.0,1.0,0.7182539682539683,0.009584534152269406,0.0,0.0,0.07851483798711932,0.007112332882834837,3,^GSPC,ret1,1
1991-02-14,-0.0013,0.0016,364.2200012207031,0.09093632277395355,0.7341269841269841,0.0,1.0,0.5992063492063492,-0.013092729322874551,0.0,0.0,0.0667588083856405,-0.009611725891792825,3,^GSPC,ret1,1
1991-02-15,0.0088,-0.0013,369.05999755859375,0.10487924602235349,0.7341269841269841,0.0,1.0,0.5992063492063492,0.01320114181390234,0.0,0.0,0.07699468457990236,0.009691314426872748,3,^GSPC,ret1,1
1991-02-19,0.0051,0.0088,369.3900146484375,0.10535431826661999,0.6944444444444444,0.0,1.0,0.5833333333333334,0.0008938102955086956,0.0,0.0,0.0731627210184861,0.0006207015941032608,3,^GSPC,ret1,1
1991-02-20,0.0016,0.0051,365.1400146484375,0.09223454030854962,0.7142857142857143,0.0,1.0,0.6190476190476191,-0.011572154325957611,0.0,0.0,0.06588181450610688,-0.00826582451854115,3,^GSPC,ret1,1
1991-02-21,0.005699999999999999,0.0016,364.9700012207031,0.09135121502625398,0.6904761904761905,0.0,1.0,0.623015873015873,-0.00046572003427436463,0.0,0.0,0.06307583894669917,-0.00032156859509420416,3,^GSPC,ret1,1
1991-02-22,-0.0009,0.005699999999999999,365.6499938964844,0.09301213063471687,0.6825396825396826,0.0,1.0,0.5873015873015873,0.0018614132563182268,0.0,0.0,0.06348447011575914,0.0012704884130425992,3,^GSPC,ret1,1
1991-02-25,0.0018,-0.0009,367.260009765625,0.09744036434436171,0.6746031746031746,0.0,1.0,0.5833333333333334,0.004393495656802359,0.0,0.0,0.0657335791211964,0.002963866117684131,3,^GSPC,ret1,1
1991-02-26,-0.0032,0.0018,362.80999755859375,0.08396783748493103,0.7023809523809523,0.0,1.0,0.6666666666666666,-0.012190796153758373,0.0,0.0,0.05897740966203489,-0.008562583012758857,3,^GSPC,ret1,1
1991-02-27,-0.009899999999999999,-0.0032,367.739990234375,0.09848402017454884,0.7103174603174603,0.0,1.0,0.6825396825396826,0.01349686564213908,0.0,0.0,0.06995491909223905,0.009587059325170219,3,^GSPC,ret1,1
1991-02-28,-0.0072,-0.009899999999999999,367.07000732421875,0.0962732825409223,0.7103174603174603,0.0,1.0,0.6507936507936508,-0.0018235546550618503,0.0,0.0,0.06838459355089321,-0.0012953027113336158,3,^GSPC,ret1,1
1991-03-01,-0.0026,-0.0072,370.4700012207031,0.10615548693992802,0.5317460317460317,0.0,1.0,0.6547619047619048,0.00921988757800635,0.0,0.0,0.05644775892837442,0.004902638632749408,3,^GSPC,ret1,1
1991-03-04,-0.0007000000000000001,-0.0026,369.3299865722656,0.10250702553003173,0.5277777777777778,0.0,1.0,0.6587301587301587,-0.0030819561222298173,0.0,0.0,0.05410093014085008,-0.0016265879533990703,3,^GSPC,ret1,1
1991-03-05,-0.0015,-0.0007000000000000001,376.7200012207031,0.12419686882761809,0.5515873015873016,0.0,1.0,0.6825396825396826,0.01981169220502214,0.0,0.0,0.06850541574221791,0.01092787784324634,3,^GSPC,ret1,1
1991-03-06,0.0034999999999999996,-0.0015,376.1700134277344,0.12225135530248218,0.5317460317460317,0.0,1.0,0.6825396825396826,-0.0014610046091691228,0.0,0.0,0.06500667305766909,-0.0007768834032883431,3,^GSPC,ret1,1
1991-03-07,0.0003,0.0034999999999999996,375.9100036621094,0.12118330795209516,0.5357142857142857,0.0,1.0,0.6031746031746031,-0.0006914417883090589,0.0,0.0,0.06491962926005097,-0.00037041524373699583,3,^GSPC,ret1,1
1991-03-08,-0.004699999999999999,0.0003,374.95001220703125,0.11805894495167553,0.5238095238095238,0.0,1.0,0.5952380952380952,-0.002557046474344797,0.0,0.0,0.061840399736591944,-0.0013394052960853699,3,^GSPC,ret1,1
1991-03-11,0.0002,-0.004699999999999999,372.9599914550781,0.11188372258664463,0.5396825396825397,0.0,1.0,0.6031746031746031,-0.005321563927470009,0.0,0.0,0.060381691554697095,-0.002871955135460005,3,^GSPC,ret1,1
1991-03-12,0.0029,0.0002,370.0299987792969,0.10289470963665266,0.5515873015873016,0.0,1.0,0.5119047619047619,-0.007887072242824183,0.0,0.0,0.056755415236090165,-0.004350408895843498,3,^GSPC,ret1,1
1991-03-13,0.0017000000000000001,0.0029,374.57000732421875,0.11619490306939999,0.5793650793650794,0.0,1.0,0.5119047619047619,0.012194640798670065,0.0,0.0,0.06731926923862064,0.007065149034150118,3,^GSPC,ret1,1
1991-03-14,0.0034000000000000002,0.0017000000000000001,373.5,0.11279677351629123,0.5436507936507936,0.0,1.0,0.5,-0.0028607163593258795,0.0,0.0,0.06132205544338055,-0.0015552307191573232,3,^GSPC,ret1,1
1991-03-15,0.003,0.0034000000000000002,373.5899963378906,0.11286000084534951,0.5317460317460317,0.0,1.0,0.45634920634920634,0.00024092502581230925,0.0,0.0,0.06001285759236839,0.00012811092642400572,3,^GSPC,ret1,1
1991-03-18,0.0015,0.003,372.1099853515625,0.10830356468176697,0.5357142857142857,0.0,1.0,0.3611111111111111,-0.003969459476997691,0.0,0.0,0.05801976679380373,-0.00212649614839162,3,^GSPC,ret1,1
1991-03-19,0.0124,0.0015,366.5899963378906,0.09187583435939502,0.5833333333333334,0.0,1.0,0.4801587301587302,-0.014945422764636911,0.0,0.0,0.053594236709647095,-0.008718163279371532,3,^GSPC,ret1,1
1991-03-20,0.0044,0.0124,367.9200134277344,0.0958163563890981,0.5515873015873016,0.0,1.0,0.42063492063492064,0.003621512370960465,0.0,0.0,0.05285108546858983,0.0019975802363631136,3,^GSPC,ret1,1
1991-03-21,0.0036,0.0044,366.5799865722656,0.09179886836823262,0.47619047619047616,0.0,0.0,0.4365079365079365,-0.0036488178140609076,0.0,0.0,0.04371374684201553,-0.0017375322924099558,2,^GSPC,ret1,1
1991-03-22,0.0038,0.0036,367.4800109863281,0.09440887584154002,0.4722222222222222,0.0,0.0,0.44047619047619047,0.0024521833857131334,0.0,0.0,0.044581969147393895,0.0011579754876978685,2,^GSPC,ret1,1
1991-03-25,0.0028000000000000004,0.0038,369.8299865722656,0.10122509849521069,0.4642857142857143,0.0,0.0,0.45634920634920634,0.006374478987451749,0.0,0.0,0.04699736715849068,0.002959579529888312,2,^GSPC,ret1,1
1991-03-26,0.0018,0.0028000000000000004,376.29998779296875,0.1202458388095848,0.43253968253968256,0.0,0.0,0.4801587301587302,0.01734326087265083,0.0,0.0,0.05201109694541565,0.007501648552059288,2,^GSPC,ret1,1
1991-03-27,0.0024,0.0018,375.3500061035156,0.117266403512181,0.42857142857142855,0.0,0.0,0.3968253968253968,-0.0025277248798889662,0.0,0.0,0.050257030076648994,-0.001083310662809557,2,^GSPC,ret1,1
1991-03-28,-0.0003,0.0024,375.2200012207031,0.11670791304141027,0.42063492063492064,0.0,0.0,0.39285714285714285,-0.0003464164111115146,0.0,0.0,0.04909142373964083,-0.000145714839594526,2,^GSPC,ret1,1
1991-04-01,0.0055000000000000005,-0.0003,371.29998779296875,0.10490328684838957,0.4087301587301587,0.0,0.0,0.4523809523809524,-0.010502195562195159,0.0,0.0,0.04287713708485764,-0.004292564059151196,2,^GSPC,ret1,1
1991-04-02,-0.0006,0.0055000000000000005,379.5,0.1290259466342488,0.43253968253968256,0.0,0.0,0.5119047619047619,0.021844268529115293,0.0,0.0,0.05580884199656,0.009448512974895107,2,^GSPC,ret1,1
1991-04-03,0.0028000000000000004,-0.0006,378.94000244140625,0.12699011633748772,0.43253968253968256,0.0,0.0,0.46825396825396826,-0.0014767091887434459,0.0,0.0,0.05492826460629429,-0.0006387353237025222,2,^GSPC,ret1,1
1991-04-04,0.0016,0.0028000000000000004,379.7699890136719,0.1291009175790282,0.4166666666666667,0.0,0.0,0.4642857142857143,0.002187889741005478,0.0,0.0,0.05379204899126175,0.0009116207254189492,2,^GSPC,ret1,1
1991-04-05,-0.0013,0.0016,375.3599853515625,0.11571977187649668,0.43253968253968256,0.0,0.0,0.503968253968254,-0.011680250947872816,0.0,0.0,0.05005339339102436,-0.005052172036976734,2,^GSPC,ret1,1
1991-04-08,-0.0014000000000000002,-0.0013,378.6600036621094,0.1252245511866541,0.4365079365079365,0.0,0.0,0.5079365079365079,0.00875318805536288,0.0,0.0,0.05466151043861885,0.0038208360559123682,2,^GSPC,ret1,1
1991-04-09,0.0023,-0.0014000000000000002,373.55999755859375,0.10977044877194644,0.4642857142857143,0.0,0.0,0.5119047619047619,-0.013560086789432836,0.0,0.0,0.050964851215546565,-0.006295754580808103,2,^GSPC,ret1,1
1991-04-10,0.0034999999999999996,0.0023,373.1499938964844,0.10820935782909641,0.4365079365079365,0.0,0.0,0.503968253968254,-0.0010981604853426117,0.0,0.0,0.047234243496827796,-0.0004793557674114575,2,^GSPC,ret1,1
1991-04-11,0.0016,0.0034999999999999996,377.6300048828125,0.12108876063331189,0.4246031746031746,0.0,0.0,0.5,0.011934425977459534,0.0,0.0,0.051414672173668144,0.005067395157095913,2,^GSPC,ret1,1
1991-04-12,-0.0017000000000000001,0.0016,380.3999938964844,0.1288888832497035,0.42857142857142855,0.0,0.0,0.503968253968254,0.007308421428120289,0.0,0.0,0.055238092821301495,0.0031321806120515523,2,^GSPC,ret1,1
1991-04-15,0.0023,-0.0017000000000000001,381.19000244140625,0.13083801451924143,0.4126984126984127,0.0,0.0,0.503968253968254,0.002074630265828849,0.0,0.0,0.05399664091270281,0.0008561966176436519,2,^GSPC,ret1,1
1991-04-16,-0.005600000000000001,0.0023,387.6199951171875,0.14940857098640623,0.45634920634920634,0.0,0.0,0.5634920634920635,0.016727520783625726,0.0,0.0,0.06818248279141553,0.007633590833797454,2,^GSPC,ret1,1
1991-04-17,-0.011200000000000002,-0.005600000000000001,390.45001220703125,0.15727005180352338,0.39285714285714285,0.0,0.0,0.48412698412698413,0.007274485696993774,0.0,0.0,0.06178466320852704,0.0028578336666761255,2,^GSPC,ret1,1
1991-04-18,-0.0089,-0.011200000000000002,388.4599914550781,0.1508890718636696,0.39285714285714285,0.0,0.0,0.49206349206349204,-0.005109768965619004,0.0,0.0,0.05927784966072734,-0.00200740923649318,2,^GSPC,ret1,1
1991-04-19,0.0007000000000000001,-0.0089,384.20001220703125,0.13778735276438234,0.43253968253968256,0.0,0.0,0.5198412698412699,-0.011026900300019361,0.0,0.0,0.05959849782268919,-0.0047695719551671045,2,^GSPC,ret1,1
1991-04-22,-0.001,0.0007000000000000001,380.95001220703125,0.12778641804266366,0.4444444444444444,0.0,0.0,0.5753968253968254,-0.008495117144376004,0.0,0.0,0.05679396357451718,-0.0037756076197226684,2,^GSPC,ret1,1
1991-04-23,-0.0042,-0.001,381.760009765625,0.1298124437141394,0.43253968253968256,0.0,0.0,0.5595238095238095,0.00212399952741043,0.0,0.0,0.05614903319381427,0.0009187140813005432,2,^GSPC,ret1,1
1991-04-24,-0.002,-0.0042,382.760009765625,0.13233175763509583,0.4087301587301587,0.0,0.0,0.46825396825396826,0.0026160219346790044,0.0,0.0,0.05408798030323361,0.0010692470606029263,2,^GSPC,ret1,1
1991-04-25,-0.0017000000000000001,-0.002,379.25,0.12164900747232615,0.3968253968253968,0.0,0.0,0.49603174603174605,-0.009212568196123283,0.0,0.0,0.048273415663621484,-0.003655781030207652,2,^GSPC,ret1,1
1991-04-26,0.0003,-0.0017000000000000001,379.0199890136719,0.12074367507387203,0.39285714285714285,0.0,0.0,0.49603174603174605,-0.000606673076121557,0.0,0.0,0.04743501520759258,-0.00023833585133346884,2,^GSPC,ret1,1
1991-04-29,-0.0042,0.0003,373.6600036621094,0.10479073765921464,0.45634920634920634,0.0,0.0,0.5158730158730159,-0.014242642320182743,0.0,0.0,0.04782116996353049,-0.006499618519131014,2,^GSPC,ret1,1
