indexret_spec,horizon,output_dir,model2_vs_model1_p,model4_vs_model3_p,model4_interaction_p,model4_interaction_coef,model4_oos_r2,model3_oos_r2,model4_vs_model3_abs_p,model4_vs_model3_abs_mean,model4_vs_model2_abs_p,model4_joint_flag,model4_interaction_flag,model4_oos_flag
ret5,5,paper/economic_time/results/finance_incremental_sweep/h5_ret5,0.09228287651243895,6.093327360627173e-07,0.009800868205122909,0.8883548013523087,0.004623236950141996,-0.0003631288603560545,0.20446096460263408,9.884657059785351e-05,0.07006106805896584,True,True,False
ret5,1,paper/economic_time/results/finance_incremental_sweep/h1_ret5,0.05157526144700384,4.6833387096697345e-05,0.02642848261435249,0.19688996270084427,0.0012337822951823396,-0.0001280944930308614,0.5632858724318683,-2.813568642483075e-06,0.43571724498325115,True,True,False
ret1,5,paper/economic_time/results/finance_incremental_sweep/h5_ret1,0.09228287651243895,8.564198548976948e-05,0.01734343797803916,0.1701957375660999,0.0013228195175857271,-0.0003631288603560545,0.30481144153430906,1.8097663893311067e-05,0.06098410050098013,True,True,False
ret1,1,paper/economic_time/results/finance_incremental_sweep/h1_ret1,0.05157526144700384,0.07300034494810238,0.3260175354768313,-0.03681351706197903,0.0013096734848903058,-0.0001280944930308614,0.25298784263850493,8.95355188859759e-06,0.17179748254556748,False,False,False
