variant,ic,icir,mean_crps,pi80
static,0.12692307692307694,0.30067606358638976,0.007681839912967853,0.8733333333333333
concat,0.13179487179487182,0.35425630915038125,0.00885005511036292,0.76
icpe,0.09256410256410257,0.2446139694863532,0.008932943629289954,0.74
