variant,ic,icir,mean_crps,pi80
static,0.016025641025641014,0.07094982219246923,0.0027438233725002336,0.7266666666666667
concat,0.01884615384615383,0.05342951698275476,0.0028083700250296243,0.6733333333333333
icpe,0.033461538461538466,0.12009652728352328,0.0028190963053034853,0.6866666666666666
