ic,icir,mae,swap_delta,gate_mean,attn_entropy,crps,pi80,pi80_width,qce,fold,pe_mode,index_symbol,test_start,test_end
-0.01802808302808303,-0.06481903293140974,0.010237208474854346,0.0,0.3138966803229044,3.4011964695037356,0.0037549881214675096,0.7238095238095238,0.0259773655519599,0.043682539682539684,0,static,^GSPC,2020-01-02,2020-07-01
0.03263736263736263,0.12155405989482561,0.010186468310522532,0.0031708512943060627,0.23406181882298183,3.4011965845501613,0.0038616932872756722,0.8215873015873015,0.03511631950617783,0.06971428571428573,0,concat_a,^GSPC,2020-01-02,2020-07-01
-0.016868131868131866,-0.08201916380380035,0.010968897303839388,0.0003914850228835666,0.4139834738250763,3.4011959019161404,0.003961232991571287,0.7615873015873016,0.03038073385755221,0.09479365079365079,0,flow_pe,^GSPC,2020-01-02,2020-07-01
0.038565323565323564,0.15673285839315168,0.011078674836067904,0.0,0.3778174462204888,3.4011894116325982,0.003472759570253806,0.8666666666666667,0.0347652297750825,0.1262222222222222,1,static,^GSPC,2020-07-02,2020-12-30
0.010921855921855926,0.04838895116942178,0.00883837132480963,0.001933902387344648,0.2765961850257147,3.4011951671327862,0.0033378821512174217,0.7482539682539683,0.03325808926293301,0.1455873015873016,1,concat_a,^GSPC,2020-07-02,2020-12-30
-0.004413919413919418,-0.017286832204906,0.011347743395712718,0.00023387885519436427,0.4025776815509039,3.4011867041814896,0.003933108189283678,0.954920634920635,0.0599065953445813,0.12190476190476192,1,flow_pe,^GSPC,2020-07-02,2020-12-30
0.012032967032967041,0.044377457304421865,0.013227136110876638,0.0,0.3212882506941992,3.40119511899494,0.0040746755984848336,0.8657142857142858,0.03611131461603301,0.12793650793650796,2,static,^GSPC,2020-12-31,2021-07-01
0.0209035409035409,0.07429512459851893,0.010888730735602247,0.004747946570435213,0.2826866791740296,3.4011952711287,0.003979178203790936,0.826031746031746,0.036120170969811696,0.14247619047619045,2,concat_a,^GSPC,2020-12-31,2021-07-01
-0.0048717948717948685,-0.017472687305009605,0.009696980911644604,0.0008230820440110707,0.32981039280929264,3.401192643907335,0.0038130120263390596,0.8888888888888888,0.04186601008924227,0.0763174603174603,2,flow_pe,^GSPC,2020-12-31,2021-07-01
0.06626373626373629,0.28945811447584274,0.006478206800673809,0.0,0.38916112596080416,3.4011932599355306,0.0029869831225923485,0.98,0.05502166564975466,0.09784126984126981,3,static,^GSPC,2021-07-02,2021-12-30
0.05633089133089133,0.17940225944747226,0.006481409681754384,0.0021024774558960446,0.35122403826032367,3.4011950753984,0.002433504653117058,0.8574603174603175,0.026581353160833557,0.01726984126984127,3,concat_a,^GSPC,2021-07-02,2021-12-30
0.0600976800976801,0.18703073535968578,0.008227238016388005,0.001655027661768217,0.3533776107288542,3.4011942892982847,0.0035040668662755735,0.9920634920634921,0.06009301823519525,0.14533333333333331,3,flow_pe,^GSPC,2021-07-02,2021-12-30
0.00965811965811966,0.03574357534551182,0.009300526095016252,0.0,0.2624251201890764,3.401192546042185,0.0036178365787712945,0.8168253968253968,0.037511448941770054,0.16552380952380952,4,static,^GSPC,2021-12-31,2022-07-01
-0.040158730158730165,-0.12488585579871339,0.008339668074013281,0.0017250991089358216,0.3268184998584172,3.4011966142200287,0.003282536665949645,0.8152380952380952,0.03518890674447729,0.09549206349206349,4,concat_a,^GSPC,2021-12-31,2022-07-01
-0.046648351648351655,-0.1503335711307396,0.009863407760941438,0.0013753724784132035,0.3588015130114934,3.4011950795612638,0.0037452830807379787,0.8088888888888889,0.04618492723693923,0.15434920634920635,4,flow_pe,^GSPC,2021-12-31,2022-07-01
