date,regime,y_true,base_pred,top_pred,rand_pred,top_shift,rand_shift
2024-05-31,2,-0.0003257321077398956,0.0011946707963943481,0.0010411739349365234,0.0012503862380981445,0.0001534968614578247,5.571544170379639e-05
2024-05-31,2,-0.005481460597366095,-0.0005863308906555176,-0.0006789714097976685,-0.0005588829517364502,9.264051914215088e-05,2.7447938919067383e-05
2024-05-31,2,0.0009641362121328712,0.00013139843940734863,-2.1770596504211426e-05,0.00029164552688598633,0.00015316903591156006,0.0001602470874786377
2024-05-31,2,0.005348440259695053,-9.918212890625e-05,-0.0001645982265472412,0.0010412633419036865,6.541609764099121e-05,0.0011404454708099365
2024-05-31,2,0.0035788307432085276,0.0006373226642608643,0.0005163848400115967,0.000657886266708374,0.00012093782424926758,2.0563602447509766e-05
2024-05-31,2,0.0010072477161884308,0.0008898079395294189,0.0007533431053161621,0.0009290874004364014,0.00013646483421325684,3.927946090698242e-05
2024-05-31,2,0.009080340154469013,0.0009360760450363159,0.0008223950862884521,0.0009643733501434326,0.00011368095874786377,2.82973051071167e-05
2024-05-31,2,-0.011183678172528744,0.0011077523231506348,0.0009641349315643311,0.0011672675609588623,0.0001436173915863037,5.951523780822754e-05
2024-05-31,2,-0.0019414789276197553,-7.68899917602539e-05,-9.703636169433594e-05,5.683302879333496e-05,2.014636993408203e-05,0.00013372302055358887
2024-05-31,2,-0.0025806191843003035,0.0006806850433349609,0.0005398392677307129,0.000662580132484436,0.00014084577560424805,1.8104910850524902e-05
2024-05-31,2,0.006316770799458027,0.0010704398155212402,0.0010188370943069458,0.0010962039232254028,5.1602721214294434e-05,2.5764107704162598e-05
2024-05-31,2,-0.006238626316189766,0.00027789175510406494,0.0011056512594223022,0.00024440884590148926,0.0008277595043182373,3.3482909202575684e-05
2024-05-31,2,-0.016213279217481613,0.0008426308631896973,0.0011188238859176636,0.0008243322372436523,0.0002761930227279663,1.8298625946044922e-05
2024-05-31,2,-0.010316076688468456,0.0007720440626144409,0.001167789101600647,0.0007681846618652344,0.00039574503898620605,3.859400749206543e-06
2024-05-31,2,-0.004197883885353804,0.0009043216705322266,0.0008177012205123901,0.0010774433612823486,8.662045001983643e-05,0.00017312169075012207
2024-05-31,2,-0.011292586103081703,0.0011538118124008179,0.0010454654693603516,0.0011441409587860107,0.00010834634304046631,9.670853614807129e-06
2024-05-31,2,-0.01634981483221054,0.0005779862403869629,0.00039443373680114746,0.0006305873394012451,0.00018355250358581543,5.2601099014282227e-05
2024-05-31,2,-0.00829226803034544,0.00021998584270477295,0.0008737146854400635,0.0010016709566116333,0.0006537288427352905,0.0007816851139068604
2024-05-31,2,-0.006452611181885004,0.0008455812931060791,0.0010182559490203857,0.0010917186737060547,0.00017267465591430664,0.0002461373805999756
2024-05-31,2,-0.011334997601807117,0.001027330756187439,0.0009393990039825439,0.0010403990745544434,8.793175220489502e-05,1.3068318367004395e-05
2024-05-31,2,0.00616362364962697,0.0011589527130126953,0.0010978281497955322,0.0011468827724456787,6.112456321716309e-05,1.2069940567016602e-05
2024-05-31,2,-0.017470981925725937,0.0002240687608718872,6.522238254547119e-05,0.0012399405241012573,0.00015884637832641602,0.0010158717632293701
2024-05-31,2,-0.008912418968975544,0.001012355089187622,0.0008776485919952393,0.000993877649307251,0.0001347064971923828,1.8477439880371094e-05
2024-05-31,2,-0.004218077287077904,0.0009209960699081421,0.0008132457733154297,0.0008941888809204102,0.0001077502965927124,2.6807188987731934e-05
2024-05-31,2,0.005552600137889385,0.00019843876361846924,0.00014379620552062988,0.00023922324180603027,5.4642558097839355e-05,4.0784478187561035e-05
2024-06-03,2,0.0017397740157321095,0.0008662939071655273,0.0007176697254180908,0.0008237957954406738,0.00014862418174743652,4.2498111724853516e-05
2024-06-03,2,-0.00029692589305341244,0.00045368075370788574,0.00030860304832458496,0.0004763603210449219,0.00014507770538330078,2.2679567337036133e-05
2024-06-03,2,0.002803817857056856,0.0005820095539093018,0.0005743801593780518,0.0007677972316741943,7.62939453125e-06,0.00018578767776489258
2024-06-03,2,0.004027283284813166,-7.50124454498291e-05,-0.00013300776481628418,-4.220008850097656e-05,5.799531936645508e-05,3.281235694885254e-05
2024-06-03,2,0.006685827858746052,8.639693260192871e-05,-2.7120113372802734e-05,6.046891212463379e-05,0.00011351704597473145,2.5928020477294922e-05
2024-06-03,2,-0.0046366178430616856,7.417798042297363e-05,0.000777706503868103,9.971857070922852e-05,0.0007035285234451294,2.5540590286254883e-05
2024-06-03,2,0.01134441327303648,-0.00013196468353271484,-0.0002475231885910034,-5.015730857849121e-05,0.00011555850505828857,8.180737495422363e-05
2024-06-03,2,-0.011658250354230404,0.0010915100574493408,0.0009485483169555664,0.001109972596168518,0.00014296174049377441,1.8462538719177246e-05
2024-06-03,2,-0.0029996922239661217,0.0008472055196762085,0.0007516145706176758,0.0009276270866394043,9.559094905853271e-05,8.04215669631958e-05
