ic,icir,mae,swap_delta,gate_mean,attn_entropy,crps,pi80,pi80_width,qce,pe_mode,index_symbol,start,end,seed
0.010774647887323945,0.04301329432009911,0.007976614955373518,0.0,0.265671527511637,3.401196289868422,0.0029686117077305334,0.7011267605633803,0.01877289275992924,0.11763380281690143,static,^GSPC,2020-01-01,2024-12-31,7
-0.03691224268689058,-0.13322434104707567,0.0074837957731946495,0.00177038459658203,0.20897513981016588,3.4011956554063607,0.0030171901065508613,0.4219718309859155,0.00969947615139921,0.14050704225352112,concat_a,^GSPC,2020-01-01,2024-12-31,7
0.003911159263271942,0.015244813480062899,0.008807575748728098,0.0004720239026445738,0.3514287868939655,3.401195921024806,0.0030063522198814636,0.7825352112676056,0.02586732125723026,0.11245070422535208,flow_pe,^GSPC,2020-01-01,2024-12-31,7
-0.011614301191765979,-0.04813562475693363,0.007723477794703769,0.0,0.22414176446031517,3.401194747266635,0.0027658470963049207,0.6746478873239437,0.01705865263414215,0.058873239436619706,static,^GSPC,2020-01-01,2024-12-31,17
-0.05786838956066087,-0.22376902326501452,0.007916530841246362,0.0023267593392184084,0.23406770655806636,3.4011956934861733,0.002893067573895678,0.6309859154929578,0.017310630836537187,0.09881690140845072,concat_a,^GSPC,2020-01-01,2024-12-31,17
0.020325027085590468,0.07451425961717806,0.007437092444917194,0.0003994541982529869,0.2017370271514839,3.4011965522631793,0.002740585843845546,0.6794366197183098,0.01745243918622883,0.045295774647887324,flow_pe,^GSPC,2020-01-01,2024-12-31,17
0.051620046620046614,0.2143643276492046,0.008375345656184705,0.0,0.3439246575218258,3.4011960487654713,0.003197688019735682,0.9418181818181818,0.04631431433739084,0.09939393939393937,static,^GSPC,2022-01-01,2024-12-31,7
0.07484848484848484,0.27886807397946783,0.008194369537647694,0.0029355475029936343,0.2620390885707104,3.4011958276864256,0.0033307731666630414,0.9078787878787878,0.041167861607038614,0.10024242424242424,concat_a,^GSPC,2022-01-01,2024-12-31,7
0.016317016317016316,0.06945684957069193,0.009416976197875949,0.001277523934841156,0.44924594328258977,3.4011959166960284,0.004008507000733957,0.9727272727272728,0.0587663273423007,0.14327272727272727,flow_pe,^GSPC,2022-01-01,2024-12-31,7
-0.0404079254079254,-0.15235197090080937,0.008706423830254077,0.0,0.3030355560057091,3.401195846037431,0.0030440186495031937,0.8284848484848485,0.026575352651151744,0.07624242424242425,static,^GSPC,2022-01-01,2024-12-31,17
0.044883449883449875,0.19037894784882983,0.011057487720367527,0.011397012341203112,0.3609578444921609,3.401195952386567,0.004010240186612601,0.9006060606060606,0.06232477683461074,0.1321212121212121,concat_a,^GSPC,2022-01-01,2024-12-31,17
-0.03997668997668997,-0.16954401027593813,0.008545649795589827,0.0011549137735908683,0.36912195380890006,3.4011962218718095,0.0031051460449993047,0.84,0.03198897935675852,0.09260606060606062,flow_pe,^GSPC,2022-01-01,2024-12-31,17
0.010774647887323945,0.04301329432009911,0.007976614955373518,0.0,0.265671527511637,3.401196289868422,0.0029686117077305334,0.7011267605633803,0.01877289275992924,0.11763380281690143,static,^IXIC,2020-01-01,2024-12-31,7
-0.03654929577464789,-0.13995727080784995,0.0074750678636676055,0.0024734163512541373,0.2063603145429786,3.40119576628779,0.0030394629524933816,0.4295774647887324,0.009882427548438731,0.1499718309859155,concat_a,^IXIC,2020-01-01,2024-12-31,7
0.0077356446370530855,0.02998549704333491,0.00881332585957322,0.0004942710708144685,0.35086424919920906,3.4011958895938497,0.0030179531627144455,0.7769014084507042,0.026305590403121963,0.11622535211267607,flow_pe,^IXIC,2020-01-01,2024-12-31,7
-0.011614301191765979,-0.04813562475693363,0.007723477794703769,0.0,0.22414176446031517,3.401194747266635,0.0027658470963049207,0.6746478873239437,0.01705865263414215,0.058873239436619706,static,^IXIC,2020-01-01,2024-12-31,17
-0.018255687973997826,-0.06450995217985225,0.00787277336745878,0.0019839222561305677,0.2350919022232714,3.401195867095195,0.0029164211948494046,0.6261971830985915,0.017401867483703183,0.10016901408450707,concat_a,^IXIC,2020-01-01,2024-12-31,17
0.023228563827530944,0.08530440869458113,0.007431927300456898,0.00043523725489495507,0.19945647004624487,3.4011965458158038,0.0027530221615813043,0.6774647887323944,0.017392216513694173,0.05763380281690141,flow_pe,^IXIC,2020-01-01,2024-12-31,17
