ic,icir,mae,param_count,tau_last_mean,market_shift_mean,pe_scale_mean,alpha_mean,fusion_gate_mean,context_gate_mean,bias_abs_mean,qk_abs_mean,bias_to_qk_ratio,tau_dev_std_mean,step_dev_std_mean,tau_corr_mean,step_intensity_spearman_mean,tau_swap_delta_mean,pred_swap_delta_mean,bias_swap_delta_mean,attn_swap_delta_mean,qk_swap_delta_mean,rand_attn_swap_delta_mean,rand_qk_swap_delta_mean,attn_topk_delta_mean,attn_kl_mean,epochs,seed,model_kind,index_symbol,start,end
0.0713465743575086,0.2641216615130136,0.007273167095062727,45266,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a,^GSPC,2022-01-01,2024-12-31
0.012844972564084301,0.050768019786117016,0.007433108209820022,45234,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a:binned_intensity_only,^GSPC,2022-01-01,2024-12-31
0.014073783359497641,0.05513849316578877,0.007455135111609702,45234,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a:intensity_only,^GSPC,2022-01-01,2024-12-31
0.016938775510204084,0.06864631724436751,0.007289263279206941,45266,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a:no_intensity,^GSPC,2022-01-01,2024-12-31
0.022499470774758206,0.09722838321903413,0.007438265601716508,45234,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a:shuffled_intensity,^GSPC,2022-01-01,2024-12-31
-0.011428571428571425,-0.047063653745941667,0.007236244960912565,45202,,,,,,,,,,,,,,,,,,,,,,,3,7,static,^GSPC,2022-01-01,2024-12-31
0.03069858712715855,0.13260728304434602,0.007636617251661164,45266,,,,,,,,,,,,,,,,,,,,,,,3,17,concat_a,^GSPC,2022-01-01,2024-12-31
-0.048822605965463096,-0.17131725705493844,0.007345468798304228,45234,,,,,,,,,,,,,,,,,,,,,,,3,17,concat_a:binned_intensity_only,^GSPC,2022-01-01,2024-12-31
-0.05180533751962323,-0.18266317767861262,0.007303577074627815,45234,,,,,,,,,,,,,,,,,,,,,,,3,17,concat_a:intensity_only,^GSPC,2022-01-01,2024-12-31
-0.037778649921507056,-0.15339958661756578,0.007227030987196787,45266,,,,,,,,,,,,,,,,,,,,,,,3,17,concat_a:no_intensity,^GSPC,2022-01-01,2024-12-31
-0.022370486656200936,-0.10485994920609686,0.007494909515919169,45234,,,,,,,,,,,,,,,,,,,,,,,3,17,concat_a:shuffled_intensity,^GSPC,2022-01-01,2024-12-31
-0.03613392773153558,-0.13271548715226864,0.007181881154127119,45202,,,,,,,,,,,,,,,,,,,,,,,3,17,static,^GSPC,2022-01-01,2024-12-31
0.06939627026816254,0.3007468679718415,0.008437270233162309,45266,,,,,,,,,,,,,,,,,,,,,,,3,27,concat_a,^GSPC,2022-01-01,2024-12-31
0.057095761381475665,0.2041631719533862,0.007259838911741539,45234,,,,,,,,,,,,,,,,,,,,,,,3,27,concat_a:binned_intensity_only,^GSPC,2022-01-01,2024-12-31
0.057519623233908954,0.20594653167166796,0.007277316142490119,45234,,,,,,,,,,,,,,,,,,,,,,,3,27,concat_a:intensity_only,^GSPC,2022-01-01,2024-12-31
0.02861067503924647,0.12301334739389048,0.007999055309374385,45266,,,,,,,,,,,,,,,,,,,,,,,3,27,concat_a:no_intensity,^GSPC,2022-01-01,2024-12-31
0.05585557299843015,0.20243232153752358,0.007228621026746953,45234,,,,,,,,,,,,,,,,,,,,,,,3,27,concat_a:shuffled_intensity,^GSPC,2022-01-01,2024-12-31
0.0785713983731266,0.3100164472668757,0.007532536397375666,45202,,,,,,,,,,,,,,,,,,,,,,,3,27,static,^GSPC,2022-01-01,2024-12-31
