epochs,seed,model_kind,ic,static_ic,below_static,concat_ic,below_concat,pe_scale_mean
3,7,concat_a:binned_intensity_only,0.012844972564084301,-0.011428571428571425,False,0.0713465743575086,True,
3,7,concat_a:intensity_only,0.014073783359497641,-0.011428571428571425,False,0.0713465743575086,True,
3,7,concat_a:no_intensity,0.016938775510204084,-0.011428571428571425,False,0.0713465743575086,True,
3,7,concat_a:shuffled_intensity,0.022499470774758206,-0.011428571428571425,False,0.0713465743575086,True,
3,17,concat_a:binned_intensity_only,-0.048822605965463096,-0.03613392773153558,True,0.03069858712715855,True,
3,17,concat_a:intensity_only,-0.05180533751962323,-0.03613392773153558,True,0.03069858712715855,True,
3,17,concat_a:no_intensity,-0.037778649921507056,-0.03613392773153558,True,0.03069858712715855,True,
3,17,concat_a:shuffled_intensity,-0.022370486656200936,-0.03613392773153558,False,0.03069858712715855,True,
3,27,concat_a:binned_intensity_only,0.057095761381475665,0.0785713983731266,True,0.06939627026816254,True,
3,27,concat_a:intensity_only,0.057519623233908954,0.0785713983731266,True,0.06939627026816254,True,
3,27,concat_a:no_intensity,0.02861067503924647,0.0785713983731266,True,0.06939627026816254,True,
3,27,concat_a:shuffled_intensity,0.05585557299843015,0.0785713983731266,True,0.06939627026816254,True,
